Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
IDDLNTM105_R1	(1, 38.7856468082121)	(2, 37.56900320805138)	(3, 38.18690477253449)	(4, 38.18766194919416)	(5, 38.57073721403379)	(6, 38.85161914116064)	(7, 39.042124584643446)	(8, 38.89208931521178)	(9, 38.91210704559515)	(10, 39.09954296429051)	(15, 39.229019866958346)	(20, 39.25707479287978)	(25, 39.1958057311232)	(30, 39.06329001932484)	(35, 39.10160887284509)	(40, 39.008342464268175)	(45, 39.060228964303256)	(50, 39.02128855242262)	(55, 38.95261558870613)	(60, 38.86408092197994)	(65, 38.90704324810419)	(70, 38.858862117569025)	(75, 38.66895772132684)	(80, 38.4526762291684)	(85, 38.20686903114297)	(90, 37.75730089991263)	(95, 37.41188476526376)	(100, 36.98678813467438)	(105, 36.60441239085928)	(110, 36.24956950884287)	(115, 35.92322963397601)	(120, 35.64692178860026)	(125, 35.560012602603436)	(130, 35.40124786183057)	(135, 35.38447884790776)	(140, 35.28292696740289)	(145, 35.23257573998839)	(150, 34.74889516751385)
IDDLNTM105_R2	(1, 39.037017213778675)	(2, 38.22435185244239)	(3, 38.43336067298923)	(4, 38.068790315894205)	(5, 38.41126070679176)	(6, 38.827146620065946)	(7, 38.67245399985969)	(8, 38.67165192323637)	(9, 38.50221374678716)	(10, 38.674857372459236)	(15, 38.69129994323726)	(20, 38.64496614007003)	(25, 38.69066052693679)	(30, 38.606610244079775)	(35, 38.603192438437944)	(40, 38.57685728316953)	(45, 38.52636788632146)	(50, 38.49853358249412)	(55, 38.442525163750936)	(60, 38.40455183586002)	(65, 38.38555384487828)	(70, 38.33192063421198)	(75, 38.269112728246796)	(80, 38.1528221285389)	(85, 38.10730938243417)	(90, 38.072207509263805)	(95, 37.98911696312974)	(100, 37.87445613005682)	(105, 37.59022895154758)	(110, 37.46633311436097)	(115, 37.321279597941235)	(120, 37.19607768203938)	(125, 37.21634960744421)	(130, 37.08304018674303)	(135, 36.967732896238985)	(140, 36.80412059211827)	(145, 36.74105328681766)	(150, 35.97084844348919)
IDDLNTM107_R1	(1, 38.73754307658503)	(2, 37.692213254803036)	(3, 38.19346948414445)	(4, 38.17595890609129)	(5, 38.453111327802745)	(6, 38.71036035366785)	(7, 38.909722738102964)	(8, 38.748787756279775)	(9, 38.74879831282887)	(10, 38.97560334587869)	(15, 39.10694863339607)	(20, 39.1225433932815)	(25, 39.03704121042174)	(30, 38.88132350974761)	(35, 38.90033241400126)	(40, 38.794326050357085)	(45, 38.81822764142452)	(50, 38.76700218246878)	(55, 38.67602936128186)	(60, 38.579082628064626)	(65, 38.60853141198927)	(70, 38.55225781125985)	(75, 38.363112993391596)	(80, 38.20400867357352)	(85, 37.974333666711765)	(90, 37.592936495710525)	(95, 37.24301864130176)	(100, 36.88388218265645)	(105, 36.480866919450406)	(110, 36.161821731946546)	(115, 35.800189548703614)	(120, 35.517535679180995)	(125, 35.38014899591578)	(130, 35.161492914991626)	(135, 35.07508990660973)	(140, 34.916899001976034)	(145, 34.83740286997381)	(150, 34.27722631755507)
IDDLNTM107_R2	(1, 38.86732685500071)	(2, 38.03305333715976)	(3, 38.2138909328627)	(4, 37.93524534593029)	(5, 38.1353756215657)	(6, 38.54878885103302)	(7, 38.42973443632329)	(8, 38.41228485166484)	(9, 38.288437763669364)	(10, 38.43666688301076)	(15, 38.4303327971649)	(20, 38.363248039023254)	(25, 38.39779125714424)	(30, 38.29231835111395)	(35, 38.25748369404149)	(40, 38.207971836690966)	(45, 38.123053704684054)	(50, 38.073057106238764)	(55, 37.99548703616674)	(60, 37.93257336606124)	(65, 37.89256873681897)	(70, 37.816468372969915)	(75, 37.729285665692075)	(80, 37.59146858801073)	(85, 37.51462605966249)	(90, 37.45662548569901)	(95, 37.36068834955784)	(100, 37.211010089715025)	(105, 36.906333538469234)	(110, 36.778285022133566)	(115, 36.59869004955323)	(120, 36.46656740903969)	(125, 36.456995668687014)	(130, 36.304180158848695)	(135, 36.154655946425905)	(140, 35.95248614550678)	(145, 35.85400136218582)	(150, 34.988379780846046)
IDDLNTM108.A_R1	(1, 38.742791509284615)	(2, 37.91604901665255)	(3, 38.3078581247978)	(4, 38.07409355527267)	(5, 38.39287883623993)	(6, 38.628457961125065)	(7, 38.80221287431365)	(8, 38.634499381643536)	(9, 38.65057763542775)	(10, 38.82533737540457)	(15, 38.97506957865606)	(20, 39.00918984361585)	(25, 38.93374952708989)	(30, 38.79737295598836)	(35, 38.82399361080942)	(40, 38.72712308793003)	(45, 38.779049889823526)	(50, 38.73521524778518)	(55, 38.65996711167698)	(60, 38.578112606132464)	(65, 38.626773129518526)	(70, 38.5784429482621)	(75, 38.42087700748987)	(80, 38.30081834396391)	(85, 38.15119725364168)	(90, 37.83924482637816)	(95, 37.58138034353926)	(100, 37.34056250821863)	(105, 37.03815041528359)	(110, 36.80638714023591)	(115, 36.54566834052367)	(120, 36.35746267435572)	(125, 36.327922249338904)	(130, 36.168302809150134)	(135, 36.12774485506328)	(140, 35.98221893466043)	(145, 35.9159841153461)	(150, 35.44272252700294)
IDDLNTM108.A_R2	(1, 39.0868338867622)	(2, 38.273371715529606)	(3, 38.50005313153732)	(4, 38.15799209710276)	(5, 38.482589317662914)	(6, 38.87597482570589)	(7, 38.74092096373314)	(8, 38.740421783575435)	(9, 38.55528272385184)	(10, 38.736074105778485)	(15, 38.75889507694413)	(20, 38.715932777860694)	(25, 38.76431413888367)	(30, 38.67959356641156)	(35, 38.67303916533608)	(40, 38.64413001001318)	(45, 38.58997732200097)	(50, 38.56039486491085)	(55, 38.500825244163565)	(60, 38.456428492146685)	(65, 38.43329586853503)	(70, 38.37262931319158)	(75, 38.302668938080956)	(80, 38.167078753161526)	(85, 38.10611521322504)	(90, 38.036302462957266)	(95, 37.931755684828055)	(100, 37.76645418651871)	(105, 37.47003801221415)	(110, 37.32439743020793)	(115, 37.15650398033089)	(120, 37.012446264695214)	(125, 37.0089482971983)	(130, 36.84694296511831)	(135, 36.69652500031051)	(140, 36.4878187226863)	(145, 36.38122570020762)	(150, 35.48339664102224)
IDDLNTM108.B_R1	(1, 38.647948667554864)	(2, 37.72177757454789)	(3, 38.24567299762873)	(4, 38.17313342623529)	(5, 38.49339629070345)	(6, 38.71503757393557)	(7, 38.90763794310726)	(8, 38.774227015901644)	(9, 38.74973556521885)	(10, 38.95750960211824)	(15, 39.098005307460376)	(20, 39.12862305278721)	(25, 39.059549132525525)	(30, 38.929647311653795)	(35, 38.96093535347351)	(40, 38.86712051016408)	(45, 38.91931425715801)	(50, 38.87830133614871)	(55, 38.80879513538765)	(60, 38.727591979354834)	(65, 38.79397236841715)	(70, 38.74451600287199)	(75, 38.553885339498706)	(80, 38.30087256070642)	(85, 38.04529533241748)	(90, 37.55032458073137)	(95, 37.21581324929361)	(100, 36.78270423698097)	(105, 36.424064404560035)	(110, 36.07111345066896)	(115, 35.74056039433621)	(120, 35.47166967725624)	(125, 35.38629264905875)	(130, 35.20095423673406)	(135, 35.15052743751586)	(140, 35.02437501049344)	(145, 34.95110618179879)	(150, 34.460879948090785)
IDDLNTM108.B_R2	(1, 38.9459032114382)	(2, 38.22369947962395)	(3, 38.43308244538224)	(4, 38.18351526907165)	(5, 38.380275486229145)	(6, 38.75789131656423)	(7, 38.66539691882865)	(8, 38.66195111882331)	(9, 38.53973830092135)	(10, 38.68675060763211)	(15, 38.705361680610196)	(20, 38.663277391344714)	(25, 38.71290017056167)	(30, 38.62745835460828)	(35, 38.61123702146193)	(40, 38.57893627590893)	(45, 38.5212062374017)	(50, 38.48868673441069)	(55, 38.43197789315353)	(60, 38.387813976180624)	(65, 38.36268403031198)	(70, 38.29103272275482)	(75, 38.148832882156405)	(80, 37.8541066647441)	(85, 37.685173578842054)	(90, 37.34190217246382)	(95, 37.02764916245036)	(100, 36.55929136416743)	(105, 36.07430701297829)	(110, 35.667700340827054)	(115, 35.32654944955098)	(120, 34.996912211603124)	(125, 34.86584727274164)	(130, 34.604750443687486)	(135, 34.37977308483541)	(140, 34.13869419092833)	(145, 33.96492473855276)	(150, 33.02942954183403)
IDDLNTM109_R1	(1, 38.67857978512925)	(2, 37.7921891921804)	(3, 38.28996382097777)	(4, 38.256149903146955)	(5, 38.52500264052788)	(6, 38.7383219179986)	(7, 38.92489024753243)	(8, 38.73454937433387)	(9, 38.77698328912239)	(10, 38.9518758865983)	(15, 39.08068230229774)	(20, 39.10229066425573)	(25, 39.02015281202322)	(30, 38.87587133629914)	(35, 38.89696412571237)	(40, 38.79098298893606)	(45, 38.82401268261966)	(50, 38.76797689070641)	(55, 38.68082056993963)	(60, 38.58839734360368)	(65, 38.635339915533436)	(70, 38.57420813221945)	(75, 38.38501847864154)	(80, 38.153315365951904)	(85, 37.877508716268835)	(90, 37.443275851526025)	(95, 37.04510375379465)	(100, 36.637039455298265)	(105, 36.19560090581477)	(110, 35.818054539913916)	(115, 35.3997408492443)	(120, 35.058526934142456)	(125, 34.844419086392506)	(130, 34.57280645410712)	(135, 34.42999599246199)	(140, 34.240380519019126)	(145, 34.109652304384895)	(150, 33.5598121258094)
IDDLNTM109_R2	(1, 38.936350896591875)	(2, 38.16803662475345)	(3, 38.3481933988319)	(4, 38.07933611317328)	(5, 38.25334513190258)	(6, 38.67159261986354)	(7, 38.53262858612745)	(8, 38.523839292166706)	(9, 38.410480040388705)	(10, 38.55688525857717)	(15, 38.55886466902941)	(20, 38.49832951867599)	(25, 38.54129659268303)	(30, 38.43662980708733)	(35, 38.40907795798503)	(40, 38.36289312911903)	(45, 38.28906740598079)	(50, 38.241354456882576)	(55, 38.16648535884143)	(60, 38.1146915939237)	(65, 38.08010709677876)	(70, 38.009870571177764)	(75, 37.92869745918047)	(80, 37.79493847443691)	(85, 37.73037233717292)	(90, 37.687665121431436)	(95, 37.59894490064793)	(100, 37.475426817959224)	(105, 37.17942045845628)	(110, 37.042658801852255)	(115, 36.87143150976035)	(120, 36.733551077916545)	(125, 36.71944292694809)	(130, 36.56734447796132)	(135, 36.39679295886184)	(140, 36.201680740217036)	(145, 36.07088157245078)	(150, 35.217776842292515)
