Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
IDDLNTM100_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.0729809528291112e-05)	(10, 0.000149254628603696)	(15, 0.00038142849532055644)	(20, 0.0022554032766780733)	(25, 0.08111989064610878)	(30, 0.7264678829951506)	(35, 2.0417286919842597)	(40, 3.3014294654756426)	(45, 5.278020949960106)	(50, 6.734518097227367)	(55, 8.764103266789954)	(60, 10.334415360291347)	(65, 12.488565955309433)	(70, 14.148803962544552)	(75, 16.38379666876107)	(80, 18.10127797202761)	(85, 20.410985057745997)	(90, 22.199449374799308)	(95, 24.496959040591246)	(100, 26.307247701115948)	(105, 28.55679687958323)	(110, 30.388147026588673)	(115, 32.50925845118057)	(120, 34.34135072536713)	(125, 36.369824777138994)	(130, 38.22513858395914)	(135, 40.1696361773319)	(140, 41.377093684850095)
IDDLNTM100_R2 - polyg	(1, 0.21322682080800237)	(2, 0.2168545374754533)	(3, 0.2188031395711127)	(4, 0.220606633000074)	(5, 0.22479405452478882)	(6, 0.22707433357290083)	(7, 0.22914731452572995)	(8, 0.23093007814516298)	(9, 0.23306524852657695)	(10, 0.2391556665659889)	(15, 0.24556117771023084)	(20, 0.25026684447315295)	(25, 0.2542718436740188)	(30, 0.2574061908746964)	(35, 0.26112511870407185)	(40, 0.2643382391809569)	(45, 0.26714090942918195)	(50, 0.2700555206488596)	(55, 0.2728872126304242)	(60, 0.275897180973932)	(65, 0.2785879102507042)	(70, 0.28117499047983496)	(75, 0.28369573531847514)	(80, 0.2863076913190398)	(85, 0.28958300122450986)	(90, 0.29306975518716843)	(95, 0.2979827200453734)	(100, 0.3146950924870817)	(105, 0.6943076564929598)	(110, 1.7854502027479022)	(115, 3.0544876824508274)	(120, 4.8558252112212115)	(125, 6.543633865128958)	(130, 8.455303732132718)	(135, 10.270497065591812)	(140, 11.33651093673656)
IDDLNTM101_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020426029788504804)	(15, 0.0005065655387549191)	(20, 0.00259410578314011)	(25, 0.08161832982890749)	(30, 0.7322323158583202)	(35, 2.048779810258524)	(40, 3.296034041204204)	(45, 5.26723170512003)	(50, 6.676492948730257)	(55, 8.667650928955409)	(60, 10.185897297105182)	(65, 12.308239411044028)	(70, 13.894222579178441)	(75, 16.06433709158664)	(80, 17.69574366476473)	(85, 19.910930254504247)	(90, 21.636447717329894)	(95, 23.880161300272032)	(100, 25.69236274831413)	(105, 27.920838513034056)	(110, 29.79421183508677)	(115, 31.939357568681505)	(120, 33.82742946177003)	(125, 35.8835544723405)	(130, 37.788579970153485)	(135, 39.73261509965656)	(140, 41.0029262330275)
IDDLNTM101_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002655383872505624)	(4, 0.00044937265534710565)	(5, 0.0008170411915401921)	(6, 0.0011438576681562689)	(7, 0.001552378263926365)	(8, 0.0019200468001194515)	(9, 0.0022264372469470235)	(10, 0.008521739627764204)	(15, 0.013358623481682142)	(20, 0.015515612227348246)	(25, 0.01693317869467048)	(30, 0.018800117817339822)	(35, 0.020430114994462505)	(40, 0.030561425769560883)	(45, 0.04539480860197308)	(50, 0.047613075437004694)	(55, 0.05082404731975765)	(60, 0.05644937592351187)	(65, 0.06179691052214242)	(70, 0.06702597414799966)	(75, 0.2334940317183561)	(80, 0.8719218483759468)	(85, 1.8013062037529153)	(90, 3.083840273349301)	(95, 4.565822268212563)	(100, 6.190757875153655)	(105, 7.922946479308227)	(110, 9.709652156968321)	(115, 11.537855356746737)	(120, 13.348161269224468)	(125, 15.231669987258243)	(130, 17.000768427240644)	(135, 18.954289404977498)	(140, 19.90061102425509)
IDDLNTM101_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00023285673958895473)	(15, 0.0005392471864165268)	(20, 0.0026349578427171194)	(25, 0.08283980641026008)	(30, 0.7516901518348499)	(35, 2.1075986056375022)	(40, 3.387036089117951)	(45, 5.400527890313854)	(50, 6.833516010126409)	(55, 8.849912392758238)	(60, 10.371872213123561)	(65, 12.501216370073905)	(70, 14.091533941729438)	(75, 16.249029252934303)	(80, 17.848130017398894)	(85, 20.015004961482635)	(90, 21.711321372122637)	(95, 23.93670872113853)	(100, 25.731315187120817)	(105, 27.933947938952315)	(110, 29.755810899084384)	(115, 31.84404971368834)	(120, 33.66654996594981)	(125, 35.66185034501607)	(130, 37.499596585911675)	(135, 39.369979537203356)	(140, 40.570997407119776)
IDDLNTM101_R2 - polyg	(1, 0.22817917876738714)	(2, 0.23187629015910652)	(3, 0.23426613564436158)	(4, 0.23657427701046263)	(5, 0.23982201574683487)	(6, 0.24194632284483938)	(7, 0.24380509155559332)	(8, 0.24529619173015418)	(9, 0.24723666456006213)	(10, 0.25144442669649414)	(15, 0.2554029912695064)	(20, 0.2579399041692386)	(25, 0.25959849778806526)	(30, 0.26096704178389507)	(35, 0.26234784139759804)	(40, 0.2633119500036154)	(45, 0.2642147805202673)	(50, 0.26519114474415784)	(55, 0.2664820698267914)	(60, 0.26760958667111684)	(65, 0.2687085070737384)	(70, 0.2697870014465714)	(75, 0.2710656709113318)	(80, 0.27210331322458786)	(85, 0.2730796774484784)	(90, 0.2741785978511)	(95, 0.2764295463337932)	(100, 0.2996090049377884)	(105, 0.7475436677877834)	(110, 1.9510330873086132)	(115, 3.2262137861811366)	(120, 5.14351941310297)	(125, 6.761910520099827)	(130, 8.725093009926642)	(135, 10.43621420695735)	(140, 11.534701577747393)
IDDLNTM102_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001899674534607138)	(15, 0.0002557254181201917)	(20, 0.0018850616535716984)	(25, 0.08638404624100075)	(30, 0.7529871468751633)	(35, 2.051443917041213)	(40, 3.3116222453349295)	(45, 5.243613166351942)	(50, 6.665957941936448)	(55, 8.604078966547828)	(60, 10.111404951793933)	(65, 12.106092438893498)	(70, 13.602210344385421)	(75, 15.52774967842529)	(80, 16.98598368983283)	(85, 18.941917816426415)	(90, 20.526187926764624)	(95, 22.657520464426586)	(100, 24.495703995636593)	(105, 26.81439558749444)	(110, 28.7596403916106)	(115, 31.020822990153476)	(120, 33.01767318364629)	(125, 35.20796138984573)	(130, 37.24287083199534)	(135, 39.40877744618716)	(140, 40.80537432538721)
IDDLNTM102_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00018266101294299407)	(4, 0.00036532202588598813)	(5, 0.0006575796465947786)	(6, 0.0009863694698921679)	(7, 0.0012786270906009584)	(8, 0.0016804813190755452)	(9, 0.0018266101294299405)	(10, 0.005947442581423887)	(15, 0.009710259448049565)	(20, 0.012420948880123597)	(25, 0.014057591556092822)	(30, 0.01619107218726699)	(35, 0.018646036201220833)	(40, 0.02951801969158784)	(45, 0.04646165525217997)	(50, 0.04898237723079328)	(55, 0.05303014527761003)	(60, 0.06220703456786606)	(65, 0.07172002012193719)	(70, 0.07825928438529636)	(75, 0.22416159508364233)	(80, 0.7584888965850063)	(85, 1.5676041195172927)	(90, 2.7150002319794866)	(95, 4.099877580589125)	(100, 5.664296092040693)	(105, 7.369429341423024)	(110, 9.093961190379902)	(115, 10.824908094111338)	(120, 12.51827797426014)	(125, 14.224375673790812)	(130, 15.855867309195045)	(135, 17.609062324302936)	(140, 18.51389922445787)
IDDLNTM102_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002338060965670324)	(15, 0.0002922576207087905)	(20, 0.0018996745346071381)	(25, 0.08841523670492685)	(30, 0.7766088690689512)	(35, 2.123879968333887)	(40, 3.430578403403924)	(45, 5.4244621820465415)	(50, 6.889513102457118)	(55, 8.880956529966818)	(60, 10.411911543847229)	(65, 12.43506492320383)	(70, 13.951333991643622)	(75, 15.890726336905086)	(80, 17.346834174121973)	(85, 19.291392172829468)	(90, 20.8775692641428)	(95, 23.029885898971656)	(100, 24.8736515507372)	(105, 27.187469746769732)	(110, 29.117831331551294)	(115, 31.353485226925255)	(120, 33.311180205683605)	(125, 35.47474875890975)	(130, 37.474974527921745)	(135, 39.60282189345675)	(140, 40.95804240000497)
IDDLNTM102_R2 - polyg	(1, 0.17031312846804766)	(2, 0.17433167075279352)	(3, 0.1753911046278629)	(4, 0.17710811814952704)	(5, 0.18054214519285533)	(6, 0.18196690109381067)	(7, 0.18295327056370284)	(8, 0.18361085021029763)	(9, 0.18510867051643018)	(10, 0.18827235926060285)	(15, 0.19196211172205133)	(20, 0.19475317199982028)	(25, 0.19695971703617166)	(30, 0.1990201332621686)	(35, 0.2005617922114075)	(40, 0.20243224098394372)	(45, 0.20430999619699772)	(50, 0.2060708483617682)	(55, 0.2076052008704893)	(60, 0.20924914998697627)	(65, 0.2110246150327822)	(70, 0.212748934994964)	(75, 0.21446594851662817)	(80, 0.2160222203469025)	(85, 0.2181776202996298)	(90, 0.22015035923941415)	(95, 0.2226418554559566)	(100, 0.24780523659898343)	(105, 0.7233522241352919)	(110, 1.9195115206127475)	(115, 3.2094051424920296)	(120, 5.110212175379415)	(125, 6.730269231373417)	(130, 8.670772155593573)	(135, 10.366092855360609)	(140, 11.45459905724998)
