Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
IDDLNTM135_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.16737980686912e-05)	(10, 0.00021673798068691202)	(15, 0.00035111552871279744)	(20, 0.0017165648070403433)	(25, 0.07309271660685421)	(30, 0.6866822746911159)	(35, 1.9673479897335553)	(40, 3.1533035419754283)	(45, 5.077121875667824)	(50, 6.426979023664752)	(55, 8.343488952648386)	(60, 9.776842240325141)	(65, 11.744931473952645)	(70, 13.198068604506503)	(75, 15.164952774961389)	(80, 16.680311045010843)	(85, 18.77178054152418)	(90, 20.41351439335256)	(95, 22.598168217282428)	(100, 24.385367932228636)	(105, 26.610256994893223)	(110, 28.44879326794493)	(115, 30.55031073724291)	(120, 32.405509826249826)	(125, 34.44393053461024)	(130, 36.34410275460969)	(135, 38.33013789303807)	(140, 39.59807241909496)
IDDLNTM135_R2 - polyg	(1, 0.20095945569290483)	(2, 0.2041888516051398)	(3, 0.206139493431322)	(4, 0.20806846145943553)	(5, 0.21071266482381587)	(6, 0.2123598734770364)	(7, 0.21387703934184477)	(8, 0.21511244583176017)	(9, 0.21665128549463725)	(10, 0.2204181915989758)	(15, 0.2238079736169191)	(20, 0.22587998871228598)	(25, 0.22737114601941194)	(30, 0.22840715356709534)	(35, 0.22959487770125966)	(40, 0.23051384673937214)	(45, 0.23149350241207695)	(50, 0.23269423082508248)	(55, 0.23358285654589883)	(60, 0.2345668469782174)	(65, 0.23539912082405512)	(70, 0.23652182356401336)	(75, 0.23723272414066643)	(80, 0.2382037102941438)	(85, 0.23922237880337227)	(90, 0.24061383663938224)	(95, 0.24277254692702388)	(100, 0.25874180134403557)	(105, 0.6448518444185418)	(110, 1.7465656783270256)	(115, 2.9290317490798388)	(120, 4.706135808885651)	(125, 6.248352249501828)	(130, 8.063112366072183)	(135, 9.686141730167282)	(140, 10.67724983777162)
IDDLNTM136_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.4409712136264776e-05)	(10, 0.00028803460320792437)	(15, 0.0004930761851525485)	(20, 0.0018453742375016172)	(25, 0.07028044318273355)	(30, 0.6808747464441153)	(35, 1.9893964210480064)	(40, 3.1805708455280186)	(45, 5.145547790554906)	(50, 6.504026382016876)	(55, 8.502288410512774)	(60, 9.96628530559739)	(65, 12.03291405584454)	(70, 13.534687421431238)	(75, 15.590448967835323)	(80, 17.10006273296019)	(85, 19.215540199134434)	(90, 20.85378826527499)	(95, 23.09367227032292)	(100, 24.905473389752316)	(105, 27.20256399616279)	(110, 29.110578436948494)	(115, 31.350125587968943)	(120, 33.319584156144046)	(125, 35.4963641733773)	(130, 37.52730104253881)	(135, 39.64708438193389)	(140, 41.03550880824462)
IDDLNTM136_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00014645827281758867)	(4, 0.0005370136669978251)	(5, 0.0007811107883604728)	(6, 0.001000798197586856)	(7, 0.0017086798495385344)	(8, 0.00219687409226383)	(9, 0.0024653809257627426)	(10, 0.007977093926131329)	(15, 0.012307376859104702)	(20, 0.014133223326897306)	(25, 0.015451347782255603)	(30, 0.01686222914373171)	(35, 0.018365867411325617)	(40, 0.03310445159920229)	(45, 0.05361837367851922)	(50, 0.05547839374330259)	(55, 0.05827086481169128)	(60, 0.062122717386793855)	(65, 0.06608685463772325)	(70, 0.07099320677711249)	(75, 0.26501136272099945)	(80, 1.0418260417454897)	(85, 2.1177866249423323)	(90, 3.559424223710129)	(95, 5.1484574282415485)	(100, 6.812491914282854)	(105, 8.577953636192769)	(110, 10.37288276259358)	(115, 12.205934977408813)	(120, 13.98659906803719)	(125, 15.827086481169129)	(130, 17.53641074710806)	(135, 19.47511307799147)	(140, 20.364070856512388)
IDDLNTM136_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 2.4409712136264776e-05)	(10, 0.00026362489107165956)	(15, 0.00046866647301628376)	(20, 0.0018160825829380994)	(25, 0.07207699799596264)	(30, 0.7034927857095781)	(35, 2.0556931992101015)	(40, 3.282017609166335)	(45, 5.296131304723524)	(50, 6.68189507241141)	(55, 8.708423547561106)	(60, 10.18150085556041)	(65, 12.265201758475662)	(70, 13.777236967044448)	(75, 15.831333771080839)	(80, 17.322562141024672)	(85, 19.410603090757753)	(90, 21.034625176665294)	(95, 23.276559597532664)	(100, 25.08472855179619)	(105, 27.367827511210162)	(110, 29.2398425085373)	(115, 31.441593661285953)	(120, 33.36128082641521)	(125, 35.495006993382525)	(130, 37.46931821233032)	(135, 39.524713613052356)	(140, 40.85058082910028)
IDDLNTM136_R2 - polyg	(1, 0.21812518764966204)	(2, 0.22207956101573695)	(3, 0.22373942144100295)	(4, 0.22561896927549532)	(5, 0.22805994048912182)	(6, 0.22996389803575046)	(7, 0.23150170990033514)	(8, 0.23303952176491982)	(9, 0.23467497247804955)	(10, 0.23818508908324443)	(15, 0.24147551827921293)	(20, 0.24328671891972378)	(25, 0.24449744064168252)	(30, 0.24555194020596915)	(35, 0.2466747869642373)	(40, 0.247826925377069)	(45, 0.24865197364727482)	(50, 0.2493452094719447)	(55, 0.2502337229937047)	(60, 0.2509269588183747)	(65, 0.2516592501824626)	(70, 0.25292367327112114)	(75, 0.25391958952628074)	(80, 0.25461282535095064)	(85, 0.25561850549096476)	(90, 0.2567462341916602)	(95, 0.2587673583565429)	(100, 0.27783622547739295)	(105, 0.6884222294366482)	(110, 1.8804217021868663)	(115, 3.1076932089739864)	(120, 5.0068615700815045)	(125, 6.5833042450930375)	(130, 8.53286401593466)	(135, 10.214888459820394)	(140, 11.2681821843275)
IDDLNTM137_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.7701828280228437e-05)	(10, 0.00038589985650897994)	(15, 0.0006620483776805436)	(20, 0.002124219393627413)	(25, 0.06035261333861084)	(30, 0.5261089575853573)	(35, 1.4980915658931084)	(40, 2.4350493367655996)	(45, 3.944848891883251)	(50, 5.057398178198641)	(55, 6.625500474940052)	(60, 7.849139354810843)	(65, 9.525789262566615)	(70, 10.816606580760874)	(75, 12.552359352778673)	(80, 13.91689770502877)	(85, 15.74447340070177)	(90, 17.185455328197207)	(95, 19.039810349692537)	(100, 20.538609988716853)	(105, 22.40414194458832)	(110, 23.9669230717487)	(115, 25.7990091932675)	(120, 27.421084364435323)	(125, 29.23357810241357)	(130, 30.920912833719292)	(135, 32.71460368969828)	(140, 33.868748732106546)
IDDLNTM137_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002301237676429697)	(4, 0.00047794936356616787)	(5, 0.001009004211973021)	(6, 0.0012568298078962192)	(7, 0.0018055864845833007)	(8, 0.002195026706748326)	(9, 0.0025136596157924384)	(10, 0.007356879833262939)	(15, 0.012065566155803703)	(20, 0.01652642688242127)	(25, 0.02000660632231418)	(30, 0.02340889771777409)	(35, 0.027427212737385943)	(40, 0.04651686435478429)	(45, 0.07449637413451336)	(50, 0.07944580532166523)	(55, 0.08682392734886445)	(60, 0.09893551825819676)	(65, 0.11173748047045795)	(70, 0.12033702864899291)	(75, 0.2359653709754451)	(80, 0.6679643286917959)	(85, 1.327499046756547)	(90, 2.2476613229567577)	(95, 3.362632219380882)	(100, 4.60545988110744)	(105, 5.966029483457111)	(110, 7.373696570129155)	(115, 8.824209161970668)	(120, 10.284213474136036)	(125, 11.798321654257094)	(130, 13.271637741289197)	(135, 14.874063883065968)	(140, 15.667445665123186)
IDDLNTM137_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 1.7701828280228437e-05)	(10, 0.00035049619994852307)	(15, 0.000601862161527767)	(20, 0.002088815737066956)	(25, 0.06149615144551359)	(30, 0.5412369400336405)	(35, 1.5448774980377524)	(40, 2.5079596270862043)	(45, 4.053877992626835)	(50, 5.188274875405682)	(55, 6.780125944967847)	(60, 8.010987170776971)	(65, 9.702665930742658)	(70, 11.00154820190139)	(75, 12.737424886717148)	(80, 14.083110791848805)	(85, 15.880473007013112)	(90, 17.301168639299405)	(95, 19.14948733735118)	(100, 20.641517797241132)	(105, 22.49342642606814)	(110, 24.025112521671463)	(115, 25.820538156821907)	(120, 27.395073297960362)	(125, 29.162530044428053)	(130, 30.80244865850235)	(135, 32.53643124769212)	(140, 33.632978081242186)
IDDLNTM137_R2 - polyg	(1, 0.23564673806640096)	(2, 0.23931101652040826)	(3, 0.24161225419683796)	(4, 0.2440020010146688)	(5, 0.24826814163020386)	(6, 0.2505870811349138)	(7, 0.25274670418510164)	(8, 0.25442837787172334)	(9, 0.2564640881239496)	(10, 0.26293233617754513)	(15, 0.26950679520082194)	(20, 0.2742048604263946)	(25, 0.2783541689752801)	(30, 0.2816077650131861)	(35, 0.2852897452954736)	(40, 0.2886884963252775)	(45, 0.2916092979915152)	(50, 0.29415128053255596)	(55, 0.29673928782712533)	(60, 0.299192761226765)	(65, 0.3015718869476277)	(70, 0.304301508868439)	(75, 0.3068930565286644)	(80, 0.3094350390697052)	(85, 0.3123098159824143)	(90, 0.3150288168062574)	(95, 0.31821160553104244)	(100, 0.33629579330212384)	(105, 0.6647532170417625)	(110, 1.5458440178618529)	(115, 2.5146934025640038)	(120, 3.977027275331051)	(125, 5.257882004569195)	(130, 6.8123432724378645)	(135, 8.197012143808236)	(140, 9.090543789543672)
IDDLNTM139_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 3.12418868725028e-05)	(10, 0.00017495456648601565)	(15, 0.0004436347935895397)	(20, 0.0020744612883341856)	(25, 0.07673632253624137)	(30, 0.6859781100595439)	(35, 1.9182768474811698)	(40, 3.082561997181357)	(45, 4.894691409824512)	(50, 6.1915671274116)	(55, 7.961332541455642)	(60, 9.298722737938991)	(65, 11.078410575253738)	(70, 12.393825228510972)	(75, 14.070677270996189)	(80, 15.290547985819932)	(85, 16.97093036152174)	(90, 18.383601008613073)	(95, 20.36194350779532)	(100, 22.084771111002112)	(105, 24.28218796931172)	(110, 26.094792258635334)	(115, 28.190866684307917)	(120, 30.02717731739039)	(125, 32.05264507873112)	(130, 33.92575240617202)	(135, 35.926289141788494)	(140, 37.236955028241105)
IDDLNTM139_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00037490264247003354)	(4, 0.0005623539637050504)	(5, 0.0009372566061750839)	(6, 0.0011871917011551062)	(7, 0.0016245781173701455)	(8, 0.0019369969860951735)	(9, 0.0022806577416927044)	(10, 0.007460562585153668)	(15, 0.011709459199814047)	(20, 0.015158563510538356)	(25, 0.018638909708135167)	(30, 0.022019281867739972)	(35, 0.02528718323460376)	(40, 0.040145824631166095)	(45, 0.0624837737450056)	(50, 0.06692637005827548)	(55, 0.07123775044668088)	(60, 0.07766108238766745)	(65, 0.08485921312309211)	(70, 0.0914887415174372)	(75, 0.2649374490561982)	(80, 0.9253846891635329)	(85, 1.8826860899560145)	(90, 3.1208145634680493)	(95, 4.548393838974941)	(100, 6.022542271053986)	(105, 7.59202844511316)	(110, 9.134053000611404)	(115, 10.71002499038531)	(120, 12.223307009960852)	(125, 13.725929297735494)	(130, 15.104571281645297)	(135, 16.679674746964146)	(140, 17.483834666684995)
IDDLNTM139_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 3.12418868725028e-05)	(10, 0.00017495456648601565)	(15, 0.00041239290671703693)	(20, 0.002068212910959685)	(25, 0.07764858563291846)	(30, 0.699274657112481)	(35, 1.9673328582483738)	(40, 3.1615039969307968)	(45, 5.018321804556379)	(50, 6.345864558297517)	(55, 8.156775537352644)	(60, 9.507562254926924)	(65, 11.3006216198231)	(70, 12.620022737845265)	(75, 14.292151007035358)	(80, 15.494732461663862)	(85, 17.153239268177543)	(90, 18.55858056860859)	(95, 20.532680419553547)	(100, 22.24161163147945)	(105, 24.4153221460302)	(110, 26.192923025301866)	(115, 28.241397312135508)	(120, 30.02930801407509)	(125, 32.013567726630995)	(130, 33.83776275598431)	(135, 35.781976617947024)	(140, 37.039350093772526)
IDDLNTM139_R2 - polyg	(1, 0.2594951123630082)	(2, 0.26190073765219096)	(3, 0.2644313304888637)	(4, 0.2669931652124089)	(5, 0.27092964295834426)	(6, 0.27308533315254696)	(7, 0.2753035071204947)	(8, 0.2769593271247373)	(9, 0.2792087429795575)	(10, 0.28523842714595055)	(15, 0.29078698625450705)	(20, 0.2947672026420639)	(25, 0.2986099547273817)	(30, 0.30185911096212203)	(35, 0.30458965187477877)	(40, 0.30736393142905694)	(45, 0.31010696909646274)	(50, 0.31336237370857756)	(55, 0.31649905915057686)	(60, 0.3193670643654726)	(65, 0.32217258580662334)	(70, 0.32449698218993756)	(75, 0.32693384936599273)	(80, 0.3292519973719325)	(85, 0.3316076356421192)	(90, 0.33393828040280793)	(95, 0.33736239120403416)	(100, 0.36077506122628783)	(105, 0.7872955491870705)	(110, 1.9099540088183347)	(115, 3.1058559480334953)	(120, 4.87380933263893)	(125, 6.380586791367617)	(130, 8.151270716885708)	(135, 9.68183574827912)	(140, 10.645173081615368)
IDDLNTM14.A_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 2.4352562766295275e-05)	(8, 2.4352562766295275e-05)	(9, 2.4352562766295275e-05)	(10, 0.0003409358787281338)	(15, 0.0006964832951160448)	(20, 0.00257650114067404)	(25, 0.0963630908662304)	(30, 0.8372167553424653)	(35, 2.4134461214160337)	(40, 3.952469642095255)	(45, 6.3045278232900115)	(50, 8.100198132450666)	(55, 10.477738835324073)	(60, 12.38870878815803)	(65, 14.885318911420962)	(70, 16.853327436766136)	(75, 19.3895932732377)	(80, 21.35887787287183)	(85, 23.882577786955984)	(90, 25.838083706576946)	(95, 28.26712033867596)	(100, 30.181738305412306)	(105, 32.49763780141167)	(110, 34.37472846892515)	(115, 36.542764074320125)	(120, 38.39508331498773)	(125, 40.423676145982895)	(130, 42.23724558877678)	(135, 44.1353817410329)	(140, 45.30302380901357)
IDDLNTM14.A_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0003409358787281338)	(4, 0.0005601089436247913)	(5, 0.0013637435149125353)	(6, 0.0015585640170428976)	(7, 0.001972557584069917)	(8, 0.0022891409000317556)	(9, 0.002581371653227299)	(10, 0.007529812407338498)	(15, 0.012151928820381342)	(20, 0.016569483706187303)	(25, 0.02057791553751951)	(30, 0.0247178512077897)	(35, 0.029305874032959735)	(40, 0.0386718696728769)	(45, 0.0482229447898179)	(50, 0.0530642342677574)	(55, 0.058835791643369384)	(60, 0.06845505393605601)	(65, 0.07884385721215759)	(70, 0.08568205683693328)	(75, 0.1561340209198255)	(80, 0.4460123165521447)	(85, 0.9898488777364974)	(90, 1.8170080246564826)	(95, 3.01430177306139)	(100, 4.631009968965094)	(105, 6.584207265635807)	(110, 8.6632829592455)	(115, 10.804116752030517)	(120, 12.95788175564444)	(125, 15.120983531822954)	(130, 17.28759694755237)	(135, 19.545259724952416)	(140, 20.787737218313907)
IDDLNTM14.A_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 2.4352562766295275e-05)	(8, 2.4352562766295275e-05)	(9, 2.4352562766295275e-05)	(10, 0.0003896410042607244)	(15, 0.0007208358578823401)	(20, 0.0026739113917392207)	(25, 0.09828694332476773)	(30, 0.8596746887255428)	(35, 2.4848624469844713)	(40, 4.067345551176424)	(45, 6.471800706419141)	(50, 8.298559497207247)	(55, 10.716632605548877)	(60, 12.644352251053492)	(65, 15.160902252709466)	(70, 17.139421344144573)	(75, 19.672039166713745)	(80, 21.60906636170764)	(85, 24.096042611140227)	(90, 26.0372292238546)	(95, 28.472349126132634)	(100, 30.38602708394621)	(105, 32.68733939484855)	(110, 34.534710194762056)	(115, 36.66517953683374)	(120, 38.4666944610583)	(125, 40.44730300237876)	(130, 42.20937164543448)	(135, 44.05182322766918)	(140, 45.16623546395528)
IDDLNTM14.A_R2 - polyg	(1, 0.21145330249974187)	(2, 0.21449737284552878)	(3, 0.21690827655939202)	(4, 0.21919741745942375)	(5, 0.22387310951055245)	(6, 0.22662494910314382)	(7, 0.2288166797521104)	(8, 0.23098405783831066)	(9, 0.23317578848727724)	(10, 0.24011626887567142)	(15, 0.24640897109448207)	(20, 0.25171782977753454)	(25, 0.25637403977845014)	(30, 0.2601389459821194)	(35, 0.2634168009304627)	(40, 0.26648522383901596)	(45, 0.26919322881862795)	(50, 0.27213988891334967)	(55, 0.27528136951020177)	(60, 0.2777896834751302)	(65, 0.280775307670278)	(70, 0.28345896008712373)	(75, 0.28613287147886296)	(80, 0.2890162149103923)	(85, 0.2920213211557532)	(90, 0.29441274281940333)	(95, 0.29781723109413144)	(100, 0.32169248363020736)	(105, 0.8211099703288376)	(110, 2.1969420973985616)	(115, 3.796963917294801)	(120, 6.05326295117993)	(125, 8.108322147389504)	(130, 10.48092902104646)	(135, 12.616609811550129)	(140, 13.974523322936413)
IDDLNTM14.B_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00012422003972483798)	(15, 0.00033247128279294876)	(20, 0.0020240559413988307)	(25, 0.09584306770887281)	(30, 0.8517695053320538)	(35, 2.4869765335557603)	(40, 4.0550280161858705)	(45, 6.494238290936852)	(50, 8.301924844318496)	(55, 10.751741318343628)	(60, 12.675255751707523)	(65, 15.20297280476245)	(70, 17.164684900341733)	(75, 19.727990994777826)	(80, 21.706085521478467)	(85, 24.277038455418797)	(90, 26.249364057333395)	(95, 28.72935504041992)	(100, 30.67085215129928)	(105, 33.04913249656522)	(110, 34.979442496808176)	(115, 37.23016712892962)	(120, 39.135307957005985)	(125, 41.24148430525467)	(130, 43.12253375268557)	(135, 45.1090021714759)	(140, 46.33093278106565)
IDDLNTM14.B_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00021921183480853764)	(4, 0.00042015601671636384)	(5, 0.0008403120334327277)	(6, 0.0010412562153405537)	(7, 0.0014979475378583405)	(8, 0.001790229984269724)	(9, 0.002027709471978973)	(10, 0.006813834531965379)	(15, 0.011084811780151721)	(20, 0.014709114115652877)	(25, 0.018713383631488827)	(30, 0.023134155633461002)	(35, 0.0274526287791892)	(40, 0.0415077609209966)	(45, 0.05983021678041021)	(50, 0.06468941245199945)	(55, 0.06972397759143555)	(60, 0.07511658872772557)	(65, 0.08111933947089935)	(70, 0.08901096552400671)	(75, 0.34500289268283685)	(80, 1.2931927235554261)	(85, 2.7024398459890717)	(90, 4.512055463517031)	(95, 6.537302455884989)	(100, 8.655462384436543)	(105, 10.860671332590572)	(110, 13.148241820612744)	(115, 15.407555903128095)	(120, 17.724058699814417)	(125, 20.04687479734323)	(130, 22.29718292697853)	(135, 24.649314953882396)	(140, 25.78910323543881)
IDDLNTM14.B_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00014248769262554948)	(15, 0.0003580459968539448)	(20, 0.002115394205902388)	(25, 0.09860879035804052)	(30, 0.8811804265021992)	(35, 2.5733167682256832)	(40, 4.192802654363037)	(45, 6.699223277666315)	(50, 8.550828922151847)	(55, 11.051345440037617)	(60, 12.998998749944514)	(65, 15.56113571459496)	(70, 17.54977067701931)	(75, 20.130529687036745)	(80, 22.091397817052012)	(85, 24.639589255478057)	(90, 26.606997205231785)	(95, 29.104101325555696)	(100, 31.056705169398686)	(105, 33.44747693571814)	(110, 35.36502515364466)	(115, 37.597365219886825)	(120, 39.47439213014899)	(125, 41.55884458556815)	(130, 43.40898881782163)	(135, 45.35778202926953)	(140, 46.54037142157231)
IDDLNTM14.B_R2 - polyg	(1, 0.19166421423426475)	(2, 0.19489758879769067)	(3, 0.19705317183997462)	(4, 0.19922702253515928)	(5, 0.2035381886197272)	(6, 0.2059312511497204)	(7, 0.20825124306811077)	(8, 0.20978572591177053)	(9, 0.21161249120184167)	(10, 0.21727546360106223)	(15, 0.22345358381208288)	(20, 0.2284698812986182)	(25, 0.23252164671199602)	(30, 0.23580982423412408)	(35, 0.23915280471495426)	(40, 0.24261269817434905)	(45, 0.2458424192071948)	(50, 0.24899541609785764)	(55, 0.25188535878675017)	(60, 0.2546876167417193)	(65, 0.25736200112638347)	(70, 0.25985005545146034)	(75, 0.26249521159148337)	(80, 0.26488827412147664)	(85, 0.2672484548762485)	(90, 0.26956113973347856)	(95, 0.2731014108656365)	(100, 0.3009815027227023)	(105, 0.8292710640195378)	(110, 2.291702631108315)	(115, 3.9228286656740026)	(120, 6.3012222703879335)	(125, 8.379343157311713)	(130, 10.83446821126979)	(135, 13.001442961902626)	(140, 14.394490329743922)
IDDLNTM140_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00021874713848220008)	(15, 0.00032048999359020016)	(20, 0.0018161099636778005)	(25, 0.06994821288675004)	(30, 0.6279721631548425)	(35, 1.7873014742539706)	(40, 2.8860429151362847)	(45, 4.618911961907474)	(50, 5.889965102200698)	(55, 7.666415700957399)	(60, 9.070507798589844)	(65, 11.01116119120535)	(70, 12.504873482759674)	(75, 14.533875283608207)	(80, 16.111123546348956)	(85, 18.242473572293385)	(90, 19.90901645181967)	(95, 22.07071128430006)	(100, 23.81802781649659)	(105, 25.99893678716412)	(110, 27.833497817615758)	(115, 29.98721601025568)	(120, 31.90423962477235)	(125, 34.045987770508816)	(130, 36.038906467793296)	(135, 38.13885356150864)	(140, 39.493295145848386)
IDDLNTM140_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00027979285154700013)	(4, 0.00038153570665500015)	(5, 0.0006358928444250003)	(6, 0.0007121999857560003)	(7, 0.0009411214097490004)	(8, 0.0010428642648570004)	(9, 0.0013226571164040005)	(10, 0.005743384170846602)	(15, 0.009182292673497003)	(20, 0.010728784071138605)	(25, 0.012036179759276405)	(30, 0.013292704019860204)	(35, 0.014411875426048205)	(40, 0.02689572374779981)	(45, 0.045285744808570824)	(50, 0.04726464334042142)	(55, 0.049604729007905426)	(60, 0.05351165464405262)	(65, 0.057973078840538414)	(70, 0.06274481874510363)	(75, 0.23845472951661967)	(80, 0.8937143264114278)	(85, 1.834423677597241)	(90, 3.0838818968937907)	(95, 4.487190574541903)	(100, 5.991896181590648)	(105, 7.58673578397957)	(110, 9.27019341316756)	(115, 10.98213904178579)	(120, 12.719276201328762)	(125, 14.525847772340189)	(130, 16.264475464710493)	(135, 18.179886454973698)	(140, 19.089833853917607)
IDDLNTM140_R2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00013226571164040005)	(15, 0.00020857285297140008)	(20, 0.0016940185375482007)	(25, 0.07151505285541324)	(30, 0.65159685411092)	(35, 1.8543296671991207)	(40, 2.991433251599907)	(45, 4.7755043902041985)	(50, 6.075976477051899)	(55, 7.890896049324935)	(60, 9.311618016624783)	(65, 11.277829214443415)	(70, 12.788191724236166)	(75, 14.828171579150853)	(80, 16.39034663790735)	(85, 18.50081902998362)	(90, 20.161379429629555)	(95, 22.330160651968217)	(100, 24.079084721275446)	(105, 26.2554864834617)	(110, 28.064881418702367)	(115, 30.185711233428634)	(120, 32.061818958763624)	(125, 34.17022597088119)	(130, 36.11874408619654)	(135, 38.1714112751432)	(140, 39.472285246268584)
IDDLNTM140_R2 - polyg	(1, 0.16863878234151006)	(2, 0.17227608941162106)	(3, 0.17380223223824107)	(4, 0.17481966078932107)	(5, 0.17672733932259607)	(6, 0.17804999643900007)	(7, 0.17960157497939708)	(8, 0.18051726067536908)	(9, 0.18140751065756408)	(10, 0.18408843488965987)	(15, 0.18664726769562606)	(20, 0.18835654766144047)	(25, 0.18956220049447028)	(30, 0.1902286161954277)	(35, 0.1909611647522053)	(40, 0.19156144759734248)	(45, 0.19222277615554448)	(50, 0.1929960218543653)	(55, 0.1939829275489129)	(60, 0.19468495324915808)	(65, 0.19532084609358308)	(70, 0.19603813322209448)	(75, 0.1967248974940735)	(80, 0.1974879689073835)	(85, 0.1983069988910029)	(90, 0.1991718131594209)	(95, 0.2010184459796311)	(100, 0.22168241985206588)	(105, 0.6126751248893546)	(110, 1.6663241323878029)	(115, 2.799098558303743)	(120, 4.483741491753742)	(125, 5.927080895744096)	(130, 7.6833609734756365)	(135, 9.248481487887513)	(140, 10.267609144647817)
IDDLNTM141_R1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 2.0292286029511882e-05)	(7, 2.0292286029511882e-05)	(8, 2.0292286029511882e-05)	(9, 2.0292286029511882e-05)	(10, 0.00016639674544199743)	(15, 0.00036120269132531153)	(20, 0.0017045520264789983)	(25, 0.06036143402338605)	(30, 0.5326968590179224)	(35, 1.4850584854121798)	(40, 2.4419939930774897)	(45, 3.949171070261838)	(50, 5.090701445480411)	(55, 6.697882966675399)	(60, 7.982542952174532)	(65, 9.737204749774806)	(70, 11.109373189547606)	(75, 12.953398156364646)	(80, 14.405173234231219)	(85, 16.342364144666952)	(90, 17.887751596444872)	(95, 19.84062844398142)	(100, 21.41803712311391)	(105, 23.375410741234596)	(110, 25.03120852129909)	(115, 26.947912339759426)	(120, 28.65733451488551)	(125, 30.552670556156773)	(130, 32.31513270850679)	(135, 34.163402821561206)	(140, 35.34078154927951)
IDDLNTM141_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0003855534345607258)	(4, 0.0004870148647082852)	(5, 0.0009334451573575467)	(6, 0.0009943220154460823)	(7, 0.001562506024272415)	(8, 0.0018465980286855813)	(9, 0.002110397747069236)	(10, 0.0061769718673834175)	(15, 0.010458644219610425)	(20, 0.014017911189186808)	(25, 0.017191624724202468)	(30, 0.020584494948336855)	(35, 0.023981423629677142)	(40, 0.03547497443679267)	(45, 0.050203115637012394)	(50, 0.05470800313556403)	(55, 0.060592766084122486)	(60, 0.06960659953843167)	(65, 0.07846215316171065)	(70, 0.0847202941732121)	(75, 0.19116550976961966)	(80, 0.582473836648315)	(85, 1.1935313873978004)	(90, 2.090990204710611)	(95, 3.1873540096846966)	(100, 4.461502591020542)	(105, 5.860960097045829)	(110, 7.3296183568889575)	(115, 8.844530853507754)	(120, 10.395551443887467)	(125, 12.011706213964704)	(130, 13.6023211128452)	(135, 15.31635775381439)	(140, 16.184538860843823)
