Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
IDDLNTM107_R2	(1.0, 38.2869175993471)	(2.0, 16.741225558122206)	(3.0, 11.66089995957579)	(4.0, 8.148120620307395)	(5.0, 5.79973023257106)	(6.0, 4.111591194852016)	(7.0, 2.954684310270698)	(8.0, 2.2115185767764456)	(9.0, 1.6272078348697978)	('>10', 5.9573415800094045)	('>50', 0.5124724059580692)	('>100', 1.3184528713555392)	('>500', 0.37411561825308604)	('>1k', 0.10730666171960661)	('>5k', 0.18841497601169824)	('>10k+', 0.0)
IDDLNTM108.A_R1	(1.0, 37.15059864000264)	(2.0, 17.687628342018847)	(3.0, 12.515547756483233)	(4.0, 8.87310011508528)	(5.0, 6.539303988897029)	(6.0, 4.723940350303601)	(7.0, 3.471089961326675)	(8.0, 2.4838022769635257)	(9.0, 1.8036626614727425)	('>10', 4.722104320560471)	('>50', 0.0020259705305808503)	('>100', 0.006910940751743159)	('>500', 0.020284675603646024)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM108.A_R2	(1.0, 35.878842435262584)	(2.0, 17.658184684066892)	(3.0, 12.282360873774225)	(4.0, 8.93110531306912)	(5.0, 6.559709950901037)	(6.0, 4.810115692767704)	(7.0, 3.622776007500218)	(8.0, 2.5716516393634907)	(9.0, 1.9133092787852284)	('>10', 5.625976255899881)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.1459678686095993)	('>10k+', 0.0)
IDDLNTM108.B_R1	(1.0, 41.72151175711226)	(2.0, 19.571338711729968)	(3.0, 12.532062232328586)	(4.0, 8.51798394789422)	(5.0, 5.534377041493675)	(6.0, 3.7625475519358798)	(7.0, 2.6007643205924635)	(8.0, 1.764562624574393)	(9.0, 1.1837634481204435)	('>10', 2.798255715696563)	('>50', 0.002495804374508451)	('>100', 0.01033684414704962)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM108.B_R2	(1.0, 42.51700122512855)	(2.0, 18.659829634209064)	(3.0, 12.338775036789942)	(4.0, 8.306188798807748)	(5.0, 5.597899589564825)	(6.0, 3.8786122024948035)	(7.0, 2.5978559193317783)	(8.0, 1.7565324919555474)	(9.0, 1.2241305394162516)	('>10', 2.9794533100574445)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.14372125224400278)	('>10k+', 0.0)
IDDLNTM109_R1	(1.0, 40.40474238544946)	(2.0, 19.026659904133428)	(3.0, 12.39952806123812)	(4.0, 8.18382271485877)	(5.0, 5.4730190379752175)	(6.0, 3.7336710581920847)	(7.0, 2.548445361148644)	(8.0, 1.877962928940584)	(9.0, 1.2677617254914735)	('>10', 4.266015450295189)	('>50', 0.30124016449334545)	('>100', 0.48293962520623224)	('>500', 0.03419158257745662)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM109_R2	(1.0, 41.97226530954696)	(2.0, 18.169507447053768)	(3.0, 11.899842669120925)	(4.0, 7.8932662373579525)	(5.0, 5.437343308179768)	(6.0, 3.7979243163758816)	(7.0, 2.5746014652429308)	(8.0, 1.7935322963935862)	(9.0, 1.2612125128815102)	('>10', 4.28041286461768)	('>50', 0.2958455413256419)	('>100', 0.47004805045464576)	('>500', 0.01949808228897709)	('>1k', 0.0)	('>5k', 0.1346998991597063)	('>10k+', 0.0)
IDDLNTM111_R1	(1.0, 43.809004878516966)	(2.0, 20.039573058579133)	(3.0, 12.344805707841898)	(4.0, 7.87475057778099)	(5.0, 5.049156291083606)	(6.0, 3.3418102254517392)	(7.0, 2.1622080102038344)	(8.0, 1.4362189833365953)	(9.0, 1.0117617003256358)	('>10', 2.905406221023696)	('>50', 0.006555637466592539)	('>100', 0.0060995710895967005)	('>500', 0.012649137299768982)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM111_R2	(1.0, 45.41764804818777)	(2.0, 19.05871180581095)	(3.0, 11.989835908193605)	(4.0, 7.7134327751192275)	(5.0, 5.044009350802839)	(6.0, 3.2196907214582793)	(7.0, 2.125242762263236)	(8.0, 1.4422103271596007)	(9.0, 0.982384902538555)	('>10', 2.7788282833598035)	('>50', 0.020019155781084073)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.20798595932507052)
IDDLNTM112_R1	(1.0, 36.70434431297689)	(2.0, 17.95517472955078)	(3.0, 12.536733069204315)	(4.0, 8.741687449135789)	(5.0, 6.155847618267277)	(6.0, 4.31528867764746)	(7.0, 2.997798423622994)	(8.0, 2.1286173289566515)	(9.0, 1.5643641281661687)	('>10', 4.9929348801874776)	('>50', 0.4507354446662172)	('>100', 1.1569749059016927)	('>500', 0.21271167603752636)	('>1k', 0.08678735567880423)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM112_R2	(1.0, 38.439521782558536)	(2.0, 17.266420051119994)	(3.0, 11.81044371066523)	(4.0, 8.484710829407675)	(5.0, 5.993263277421663)	(6.0, 4.164512547672424)	(7.0, 3.0442930099065335)	(8.0, 2.11935400744877)	(9.0, 1.6423730270608325)	('>10', 5.02731473326075)	('>50', 0.45885934901790154)	('>100', 1.0570083366074394)	('>500', 0.25390092897678396)	('>1k', 0.05618478357075764)	('>5k', 0.1818396253047727)	('>10k+', 0.0)
IDDLNTM113_R1	(1.0, 51.939618899873075)	(2.0, 20.892331818163758)	(3.0, 11.063666452550306)	(4.0, 5.82122988830422)	(5.0, 3.2129832575742747)	(6.0, 1.8114660749799794)	(7.0, 1.038270514441296)	(8.0, 0.6540463378868189)	(9.0, 0.4020909374609762)	('>10', 1.7974901622262371)	('>50', 0.4687255912720576)	('>100', 0.838332217846461)	('>500', 0.059747847420628074)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM113_R2	(1.0, 54.20329791774028)	(2.0, 19.5059375504772)	(3.0, 10.340397000417392)	(4.0, 5.632450444620566)	(5.0, 3.1275559015797185)	(6.0, 1.8118515640985984)	(7.0, 1.0405206379270593)	(8.0, 0.638590549711969)	(9.0, 0.3935083772243393)	('>10', 1.7691559327260897)	('>50', 0.4443887464458421)	('>100', 0.8224265523463685)	('>500', 0.034344843554687705)	('>1k', 0.0)	('>5k', 0.23557398112984984)	('>10k+', 0.0)
IDDLNTM116_R1	(1.0, 42.728874755313115)	(2.0, 19.973812566081055)	(3.0, 12.729260871335729)	(4.0, 8.230633369886155)	(5.0, 5.384197915000198)	(6.0, 3.528628867282377)	(7.0, 2.2992598638580906)	(8.0, 1.6282993835121378)	(9.0, 1.1004714295331355)	('>10', 2.368770472731482)	('>50', 0.0)	('>100', 0.009767495842616577)	('>500', 0.01802300962393185)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM116_R2	(1.0, 44.5019724128142)	(2.0, 18.904070798758372)	(3.0, 12.042968332360775)	(4.0, 7.935352436493362)	(5.0, 5.404976163990112)	(6.0, 3.5597573524276718)	(7.0, 2.3484354677125263)	(8.0, 1.557648835306941)	(9.0, 1.111735661865577)	('>10', 2.436072057011595)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.1970104812588062)	('>10k+', 0.0)
IDDLNTM117_R1	(1.0, 54.142033184498516)	(2.0, 19.690275893111362)	(3.0, 10.501164490573856)	(4.0, 5.661971026797163)	(5.0, 3.353936906044138)	(6.0, 1.9223706032698418)	(7.0, 1.134354749975552)	(8.0, 0.679434128540526)	(9.0, 0.4306162040114551)	('>10', 2.132194513816002)	('>50', 0.2695071088077587)	('>100', 0.0661769829498662)	('>500', 0.015964207603969004)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM117_R2	(1.0, 54.87411990285942)	(2.0, 18.846052723261085)	(3.0, 10.380198886599668)	(4.0, 5.825835754000377)	(5.0, 3.3412559474406294)	(6.0, 1.9120178857780965)	(7.0, 1.1012879246153315)	(8.0, 0.6905692932939282)	(9.0, 0.44653236375526767)	('>10', 2.1289042894837458)	('>50', 0.26977761480607815)	('>100', 0.07172608347948212)	('>500', 0.0)	('>1k', 0.11172133062691485)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM12.A_R1	(1.0, 37.94693946192454)	(2.0, 17.606585694589256)	(3.0, 12.171173735758833)	(4.0, 8.624278069445706)	(5.0, 6.498862994938166)	(6.0, 4.559510897017529)	(7.0, 3.24660255823171)	(8.0, 2.4459342112750724)	(9.0, 1.7769151662677611)	('>10', 5.11226624800695)	('>50', 0.0)	('>100', 0.010930962544441997)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM12.A_R2	(1.0, 39.719328965782545)	(2.0, 16.785264296661165)	(3.0, 11.832291491102842)	(4.0, 8.452457168959713)	(5.0, 5.974935173491535)	(6.0, 4.503407572983534)	(7.0, 3.3027356448583953)	(8.0, 2.4627615813787056)	(9.0, 1.761922436572123)	('>10', 5.021545495016078)	('>50', 0.001908317946925961)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.18144185524652484)	('>10k+', 0.0)
IDDLNTM12.B_R1	(1.0, 39.87456314972962)	(2.0, 18.59078661055811)	(3.0, 12.735264611755708)	(4.0, 8.578942350629106)	(5.0, 6.052275632220008)	(6.0, 4.1581490499087925)	(7.0, 2.93202092213558)	(8.0, 2.04597092247632)	(9.0, 1.520703708569998)	('>10', 3.5052561528729558)	('>50', 0.0)	('>100', 0.006066889143805422)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM12.B_R2	(1.0, 41.98554544934303)	(2.0, 17.716612097959096)	(3.0, 11.749965718472522)	(4.0, 8.329365745181391)	(5.0, 5.926706057285087)	(6.0, 4.130788612567877)	(7.0, 2.9467548950140374)	(8.0, 1.9457562307454768)	(9.0, 1.4853239599386328)	('>10', 3.6116566717834893)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.1715245617093504)	('>10k+', 0.0)
