Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
IDDLNTM132_R1	(1.0, 33.76456873336494)	(2.0, 17.640779053521108)	(3.0, 12.604094237708122)	(4.0, 8.967593529424327)	(5.0, 6.990417832468595)	(6.0, 5.031663391280235)	(7.0, 3.6981002510411636)	(8.0, 2.753750716282899)	(9.0, 2.0890677308969137)	('>10', 6.417960021091491)	('>50', 0.014011796673989212)	('>100', 0.009147262082023846)	('>500', 0.0)	('>1k', 0.018845444164184013)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM132_R2	(1.0, 37.88494945479315)	(2.0, 16.374232192494816)	(3.0, 11.522889370631411)	(4.0, 8.628572402755923)	(5.0, 6.427558122202201)	(6.0, 4.660380902687361)	(7.0, 3.542639517812587)	(8.0, 2.5783586338389743)	(9.0, 1.9396236410450038)	('>10', 6.251094274906281)	('>50', 0.012381404096076755)	('>100', 0.002209411797312817)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.17511067093887828)	('>10k+', 0.0)
IDDLNTM135_R1	(1.0, 36.9218886404832)	(2.0, 18.357032721789288)	(3.0, 12.46027486864404)	(4.0, 9.01058893689166)	(5.0, 6.4935317440499105)	(6.0, 4.529838804129453)	(7.0, 3.297203231896434)	(8.0, 2.3241980798896176)	(9.0, 1.7664216137476336)	('>10', 4.816284640398737)	('>50', 0.004000777822687164)	('>100', 0.0032985618657810018)	('>500', 0.015437378391531566)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM135_R2	(1.0, 38.372561773206854)	(2.0, 17.450951509587895)	(3.0, 12.094806351809902)	(4.0, 8.720256353731925)	(5.0, 6.133064047725046)	(6.0, 4.626671959483009)	(7.0, 3.259279512735084)	(8.0, 2.416869749923352)	(9.0, 1.8119008517193211)	('>10', 4.952736149237922)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.16090174083973233)	('>10k+', 0.0)
IDDLNTM136_R1	(1.0, 38.63759831975209)	(2.0, 18.955556082835532)	(3.0, 12.745092887524365)	(4.0, 8.565123269720617)	(5.0, 6.076106376235338)	(6.0, 4.269016251081186)	(7.0, 2.8824431045827708)	(8.0, 2.2053623418375072)	(9.0, 1.5514692388241729)	('>10', 4.086901428939674)	('>50', 0.002544124609654512)	('>100', 0.0029551009129562124)	('>500', 0.019831473144129884)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM136_R2	(1.0, 39.71266118838212)	(2.0, 18.224558177354993)	(3.0, 12.331382141955915)	(4.0, 8.586550230692733)	(5.0, 5.960999276284927)	(6.0, 4.160191414810171)	(7.0, 2.9853772469729436)	(8.0, 2.1829426072467357)	(9.0, 1.5555977490310675)	('>10', 4.124119424995034)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.17562054227334636)	('>10k+', 0.0)
IDDLNTM137_R1	(1.0, 31.95699607138085)	(2.0, 17.02225525726391)	(3.0, 12.041396439878083)	(4.0, 9.101469231639765)	(5.0, 6.768995003972537)	(6.0, 5.247573085682774)	(7.0, 3.755371000707349)	(8.0, 2.8958390268755325)	(9.0, 2.095024757012073)	('>10', 8.030006248349608)	('>50', 0.5540977003846228)	('>100', 0.49766100075858055)	('>500', 0.009316648809825412)	('>1k', 0.02399852728445301)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM137_R2	(1.0, 35.39458924059581)	(2.0, 15.915911468030542)	(3.0, 11.520203366849675)	(4.0, 8.403068732139097)	(5.0, 6.5165820708613325)	(6.0, 4.762198418819487)	(7.0, 3.6250144707606284)	(8.0, 2.773861747233629)	(9.0, 2.1212075276242626)	('>10', 7.757474103599886)	('>50', 0.4953247584044893)	('>100', 0.5100951929180005)	('>500', 0.009348286382946557)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.19512061578022494)
IDDLNTM139_R1	(1.0, 44.76282565152657)	(2.0, 19.88431009466011)	(3.0, 12.241002442703032)	(4.0, 7.794207371472023)	(5.0, 4.820635254487526)	(6.0, 3.144106413653887)	(7.0, 2.0992583434341117)	(8.0, 1.3320394893784286)	(9.0, 0.9309657519805299)	('>10', 2.6501285436752204)	('>50', 0.25340259018578026)	('>100', 0.08711805284278298)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM139_R2	(1.0, 46.45164703955496)	(2.0, 18.9280904591819)	(3.0, 11.787668470998202)	(4.0, 7.4577184496192315)	(5.0, 4.789317065281211)	(6.0, 3.1588133657243866)	(7.0, 1.9712674933065568)	(8.0, 1.3226140494330214)	(9.0, 0.9484581076254421)	('>10', 2.6520020746048067)	('>50', 0.26094271798078517)	('>100', 0.0612336708368072)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.21022703585259744)	('>10k+', 0.0)
IDDLNTM14.A_R1	(1.0, 41.171895315625385)	(2.0, 18.71969424884565)	(3.0, 12.452531175445548)	(4.0, 8.442428663291079)	(5.0, 5.608993155781309)	(6.0, 3.9063883156369674)	(7.0, 2.6863573046806533)	(8.0, 1.8383584796215522)	(9.0, 1.298488660305759)	('>10', 3.6860488672742497)	('>50', 0.1663204372315314)	('>100', 0.022495376260366615)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM14.A_R2	(1.0, 43.38266550413682)	(2.0, 17.834237963656904)	(3.0, 11.83770680326491)	(4.0, 7.913985507399202)	(5.0, 5.49180582926784)	(6.0, 3.7906764570723555)	(7.0, 2.5664116026807435)	(8.0, 1.815795361680569)	(9.0, 1.3247835081622528)	('>10', 3.6789395893063612)	('>50', 0.16724162182527283)	('>100', 0.025310504120813537)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.1704397474259582)	('>10k+', 0.0)
IDDLNTM14.B_R1	(1.0, 34.76917517930256)	(2.0, 17.314986058577848)	(3.0, 12.215343109641852)	(4.0, 8.960268999083596)	(5.0, 6.373054063856235)	(6.0, 4.8369513575313965)	(7.0, 3.5664702122977285)	(8.0, 2.678135760820264)	(9.0, 1.9794571154019638)	('>10', 6.96062638186707)	('>50', 0.2525802924829048)	('>100', 0.07968386875777024)	('>500', 0.013267600378807191)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM14.B_R2	(1.0, 37.25925837682747)	(2.0, 16.35659839900628)	(3.0, 11.525166795519691)	(4.0, 8.49581073452094)	(5.0, 6.169467715269673)	(6.0, 4.60641909459962)	(7.0, 3.574053882306537)	(8.0, 2.535896848104404)	(9.0, 1.9605118670987804)	('>10', 7.030361203590206)	('>50', 0.25767550839959996)	('>100', 0.07230509895879692)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.15647447579798668)	('>10k+', 0.0)
IDDLNTM140_R1	(1.0, 39.59336587846147)	(2.0, 19.428962167997305)	(3.0, 12.739292063139601)	(4.0, 8.965402323018978)	(5.0, 6.088934906689674)	(6.0, 4.069531830876984)	(7.0, 2.789346202743025)	(8.0, 1.9195722304666218)	(9.0, 1.3266287245957724)	('>10', 3.057664388030994)	('>50', 0.002453034407851258)	('>100', 0.0038810420379398686)	('>500', 0.014965207533787958)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM140_R2	(1.0, 41.579520247688215)	(2.0, 18.467921116980982)	(3.0, 12.181136717008526)	(4.0, 8.410091711886022)	(5.0, 5.894726226168932)	(6.0, 3.988206032703144)	(7.0, 2.7894887841082063)	(8.0, 1.9398726631323666)	(9.0, 1.3348374843967186)	('>10', 3.2733170912823857)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.14088192464451676)	('>10k+', 0.0)
IDDLNTM141_R1	(1.0, 35.21757710501546)	(2.0, 17.63884256312877)	(3.0, 12.3012754741934)	(4.0, 8.799737724602611)	(5.0, 6.2114985871112935)	(6.0, 4.697447009027366)	(7.0, 3.42473445679456)	(8.0, 2.4706910024862068)	(9.0, 1.8376336107184057)	('>10', 6.632004101517956)	('>50', 0.41103498478405937)	('>100', 0.3452586585117173)	('>500', 0.012264722108232094)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM141_R2	(1.0, 37.291888270837035)	(2.0, 16.842697683736404)	(3.0, 11.691222436697455)	(4.0, 8.542930964854126)	(5.0, 6.195980160873876)	(6.0, 4.392727129681447)	(7.0, 3.2559135133870383)	(8.0, 2.4238303096132547)	(9.0, 1.8002361044495196)	('>10', 6.678175068391434)	('>50', 0.3974815937334541)	('>100', 0.33361554199419197)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.15330122175067523)	('>10k+', 0.0)
IDDLNTM143_R1	(1.0, 32.83289077861276)	(2.0, 16.741182271902836)	(3.0, 12.146876561078892)	(4.0, 9.011347229080656)	(5.0, 6.582215894715477)	(6.0, 5.001419310771533)	(7.0, 3.6925743383655556)	(8.0, 2.705289795678064)	(9.0, 2.178390722036787)	('>10', 7.859419387717725)	('>50', 0.5806187324553326)	('>100', 0.6349376239925925)	('>500', 0.009640662865540122)	('>1k', 0.023196690726280444)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM143_R2	(1.0, 34.32283588274424)	(2.0, 16.053540386554438)	(3.0, 11.675055509896758)	(4.0, 8.771543151478465)	(5.0, 6.539897412789193)	(6.0, 4.700858539050637)	(7.0, 3.6412597316718074)	(8.0, 2.7332703650531234)	(9.0, 1.9857225751311145)	('>10', 8.175120014053244)	('>50', 0.5922736396326633)	('>100', 0.63176220216808)	('>500', 0.011095186811810525)	('>1k', 0.0)	('>5k', 0.16576540296451248)	('>10k+', 0.0)
IDDLNTM144_R1	(1.0, 34.770965215585115)	(2.0, 17.238017566360202)	(3.0, 12.096962036029058)	(4.0, 8.851808781022424)	(5.0, 6.5466709619940655)	(6.0, 4.719652798837076)	(7.0, 3.4760073115875083)	(8.0, 2.5073389025233244)	(9.0, 1.8173893876426206)	('>10', 6.795585663811414)	('>50', 0.5816060756200571)	('>100', 0.5713522926120379)	('>500', 0.0)	('>1k', 0.02664300637513089)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM144_R2	(1.0, 36.192103069998865)	(2.0, 16.683207483038736)	(3.0, 11.763994106639384)	(4.0, 8.613404844854422)	(5.0, 6.213470432329517)	(6.0, 4.557336291638045)	(7.0, 3.3333225582952988)	(8.0, 2.4984025032926627)	(9.0, 1.9382599579918263)	('>10', 6.831147793987125)	('>50', 0.605598596307262)	('>100', 0.5697302483589716)	('>500', 0.010243180835484346)	('>1k', 0.0)	('>5k', 0.18977893243243069)	('>10k+', 0.0)
IDDLNTM145_R1	(1.0, 40.79367690514098)	(2.0, 19.357472448050707)	(3.0, 12.601269938632578)	(4.0, 8.400176222411112)	(5.0, 5.464533746481562)	(6.0, 3.902282334986551)	(7.0, 2.6331511581483475)	(8.0, 1.8017097177670416)	(9.0, 1.218823687884522)	('>10', 3.7735955955876066)	('>50', 0.021204428206785395)	('>100', 0.012723452551548973)	('>500', 0.01938036415066846)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM145_R2	(1.0, 42.00738345749918)	(2.0, 18.610631135612905)	(3.0, 12.057019249246464)	(4.0, 8.034012753940933)	(5.0, 5.610426374437547)	(6.0, 3.921068939750319)	(7.0, 2.6259381193042337)	(8.0, 1.8020551756281835)	(9.0, 1.2552929448672585)	('>10', 3.870777103123885)	('>50', 0.026533839323987302)	('>100', 0.002629423017254943)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.17623148424779675)	('>10k+', 0.0)
IDDLNTM146_R1	(1.0, 35.838423800180806)	(2.0, 17.793781059659228)	(3.0, 12.441535344367333)	(4.0, 8.759803532420325)	(5.0, 6.331881074086239)	(6.0, 4.506908155958467)	(7.0, 3.3844702385846936)	(8.0, 2.4310995328249705)	(9.0, 1.6785484502660957)	('>10', 6.288865653612658)	('>50', 0.3677716755337522)	('>100', 0.15795108410878558)	('>500', 0.0189603983966875)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM146_R2	(1.0, 38.34740893599548)	(2.0, 17.142759618802803)	(3.0, 11.845459415006292)	(4.0, 8.243559713817067)	(5.0, 6.097692873659655)	(6.0, 4.2483029012525755)	(7.0, 3.2074484017893576)	(8.0, 2.3983134723874757)	(9.0, 1.7337975184719214)	('>10', 6.053070179125151)	('>50', 0.3748695156114987)	('>100', 0.16106132379592558)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.14625613028476403)	('>10k+', 0.0)
IDDLNTM147_R1	(1.0, 39.20247646217872)	(2.0, 18.83347508243986)	(3.0, 12.363082722672274)	(4.0, 8.577706834739459)	(5.0, 6.050296292505909)	(6.0, 4.107402064170571)	(7.0, 2.8066236954529082)	(8.0, 1.9753183934080119)	(9.0, 1.4385337174409045)	('>10', 4.431789348999018)	('>50', 0.1583921487573355)	('>100', 0.03528478366197213)	('>500', 0.019618453572965277)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM147_R2	(1.0, 39.45113630138475)	(2.0, 18.31111464734029)	(3.0, 12.086685049799854)	(4.0, 8.53457091066055)	(5.0, 5.996993164200423)	(6.0, 4.156657729268815)	(7.0, 2.867028569002983)	(8.0, 2.076633534325514)	(9.0, 1.4560842995161118)	('>10', 4.7031240835167365)	('>50', 0.17681770845568254)	('>100', 0.030504448060664782)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.1526495544676344)	('>10k+', 0.0)
IDDLNTM148_R1	(1.0, 41.93674359508875)	(2.0, 19.803518604992053)	(3.0, 12.126047552976019)	(4.0, 8.046964509067791)	(5.0, 5.204345582442362)	(6.0, 3.3731924413570447)	(7.0, 2.3124790624152562)	(8.0, 1.6043034655818638)	(9.0, 1.1452642730039957)	('>10', 4.009007024488672)	('>50', 0.28790379061550836)	('>100', 0.13445601210396319)	('>500', 0.015774085866671887)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM148_R2	(1.0, 43.96482171027279)	(2.0, 18.656342448183022)	(3.0, 11.828503536361053)	(4.0, 7.549360312859604)	(5.0, 5.083854414305026)	(6.0, 3.345543052338509)	(7.0, 2.306034274574754)	(8.0, 1.5302708522364903)	(9.0, 1.099830651454359)	('>10', 4.097582545484364)	('>50', 0.3112568340216839)	('>100', 0.11880287748531144)	('>500', 0.0)	('>1k', 0.10779649042299531)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM149_R1	(1.0, 42.25187290293366)	(2.0, 18.88615698104881)	(3.0, 11.91863013419377)	(4.0, 7.747999655841673)	(5.0, 5.203853699459124)	(6.0, 3.604477701874212)	(7.0, 2.4080810339447623)	(8.0, 1.7834722382581907)	(9.0, 1.2490682869894572)	('>10', 4.367916153537427)	('>50', 0.4110242347112748)	('>100', 0.14819298859723545)	('>500', 0.01925398861040732)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM149_R2	(1.0, 44.059948797489135)	(2.0, 18.095286686021193)	(3.0, 11.380387007970526)	(4.0, 7.477679736164265)	(5.0, 5.0438401574477245)	(6.0, 3.428280197414261)	(7.0, 2.4093573035838087)	(8.0, 1.7604039976004497)	(9.0, 1.2227653547263846)	('>10', 4.439187787437658)	('>50', 0.373150370355335)	('>100', 0.1819311850296093)	('>500', 0.0)	('>1k', 0.12778141875956578)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM15.A_R1	(1.0, 39.31303251442743)	(2.0, 18.57050731688165)	(3.0, 12.248821425865811)	(4.0, 8.579654371572683)	(5.0, 5.959765005325044)	(6.0, 4.169569787526692)	(7.0, 2.9139502274032103)	(8.0, 2.0383631453157203)	(9.0, 1.4552834638710808)	('>10', 4.490702257700138)	('>50', 0.2084333714969118)	('>100', 0.05191711261358259)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM15.A_R2	(1.0, 41.28817021981673)	(2.0, 17.72218633325149)	(3.0, 11.878793025962224)	(4.0, 8.21862684436994)	(5.0, 5.565947577443864)	(6.0, 4.034417704075555)	(7.0, 2.814259145412585)	(8.0, 2.060142035611146)	(9.0, 1.5251140794536373)	('>10', 4.452433639549588)	('>50', 0.21325919335452487)	('>100', 0.044446470569121675)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.18220373112960228)	('>10k+', 0.0)
IDDLNTM15.B_R1	(1.0, 33.875391573164656)	(2.0, 17.005294001765858)	(3.0, 12.18605879450701)	(4.0, 9.103154020205478)	(5.0, 6.535638104235892)	(6.0, 5.047293723946266)	(7.0, 3.733549979717122)	(8.0, 2.766871421071625)	(9.0, 2.0492964853166753)	('>10', 7.327153331056794)	('>50', 0.28417076102032673)	('>100', 0.07173288724499248)	('>500', 0.01439491674722507)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM15.B_R2	(1.0, 37.691719994063966)	(2.0, 16.0101932306295)	(3.0, 11.283506022672821)	(4.0, 8.416484336258012)	(5.0, 6.175872369584727)	(6.0, 4.656327674717998)	(7.0, 3.4496486688998225)	(8.0, 2.6074581370680776)	(9.0, 2.041688541870172)	('>10', 7.16913727151722)	('>50', 0.2287140523797594)	('>100', 0.07304985774401562)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.19619984259387982)
IDDLNTM152_R1	(1.0, 43.35380011031815)	(2.0, 20.08260202232718)	(3.0, 12.432630770830716)	(4.0, 7.901572341930277)	(5.0, 5.042475338544415)	(6.0, 3.2077335541087706)	(7.0, 2.077276159324216)	(8.0, 1.5447569957476674)	(9.0, 0.9726578747926056)	('>10', 3.2245818776932356)	('>50', 0.12856063681691463)	('>100', 0.013508232216829088)	('>500', 0.017844085349065442)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM152_R2	(1.0, 45.10784430710944)	(2.0, 19.288868488677263)	(3.0, 11.836401690423905)	(4.0, 7.45815431049992)	(5.0, 4.925541719712143)	(6.0, 3.239928506921539)	(7.0, 2.1743651562658473)	(8.0, 1.4381493872780071)	(9.0, 1.0482366593537384)	('>10', 3.1890343116681277)	('>50', 0.15062649785830615)	('>100', 0.020058640202019553)	('>500', 0.0)	('>1k', 0.12279032402971939)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM18.A_R1	(1.0, 42.00682337201292)	(2.0, 19.10992830982302)	(3.0, 12.514583213395866)	(4.0, 8.143161803250345)	(5.0, 5.39036909470407)	(6.0, 3.7264695875620784)	(7.0, 2.4545179936853327)	(8.0, 1.7406328004919671)	(9.0, 1.1737723973192677)	('>10', 3.5134912551941366)	('>50', 0.19932955167310107)	('>100', 0.02692062088787896)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM18.A_R2	(1.0, 43.751340703760775)	(2.0, 18.496761533641397)	(3.0, 11.871989601684337)	(4.0, 7.805202385241417)	(5.0, 5.147999585510372)	(6.0, 3.6340431428280064)	(7.0, 2.566921345387908)	(8.0, 1.7210007671033711)	(9.0, 1.2141312104681437)	('>10', 3.4363295842125843)	('>50', 0.2201865745688567)	('>100', 0.02125966312327662)	('>500', 0.0)	('>1k', 0.11283390246955394)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM18.B_R1	(1.0, 33.40840226167182)	(2.0, 16.57301680039393)	(3.0, 11.979081456383277)	(4.0, 8.903431906175216)	(5.0, 6.601348929000574)	(6.0, 5.069823305871064)	(7.0, 3.780515960873327)	(8.0, 2.7240223933294607)	(9.0, 2.142408509843081)	('>10', 8.3442008794333)	('>50', 0.328438779986504)	('>100', 0.1360694790713981)	('>500', 0.009239337967038706)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM18.B_R2	(1.0, 35.77984176850994)	(2.0, 15.875617854510187)	(3.0, 11.190700551933865)	(4.0, 8.405417124886021)	(5.0, 6.320303962295889)	(6.0, 4.882392388973636)	(7.0, 3.6401452636113043)	(8.0, 2.81275134840519)	(9.0, 2.1151619914093467)	('>10', 8.404389718527144)	('>50', 0.3406988940409395)	('>100', 0.1368476008381999)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.09573153205843603)	('>10k+', 0.0)
IDDLNTM19.A_R1	(1.0, 35.05789285319123)	(2.0, 17.200873388870775)	(3.0, 12.267738835993034)	(4.0, 9.259873695242584)	(5.0, 6.620398975125877)	(6.0, 5.002962146633494)	(7.0, 3.6380794538331394)	(8.0, 2.735698983521337)	(9.0, 1.9725497986957539)	('>10', 6.231071668562778)	('>50', 0.005320948047772741)	('>100', 0.007539252282190401)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM19.A_R2	(1.0, 38.04089382836062)	(2.0, 16.320644313923747)	(3.0, 11.47146464388354)	(4.0, 8.58523144185988)	(5.0, 6.376980567528588)	(6.0, 4.7520707423973265)	(7.0, 3.5894667798389737)	(8.0, 2.66485650704611)	(9.0, 1.9208652337902323)	('>10', 6.083950444878338)	('>50', 0.0045811036445404)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.18899439284811398)
IDDLNTM19.B_R1	(1.0, 33.14492040005022)	(2.0, 16.378480651743796)	(3.0, 11.848783423054094)	(4.0, 8.848563210943075)	(5.0, 6.691689548902378)	(6.0, 5.120458083313214)	(7.0, 3.7890558713758926)	(8.0, 3.0437348359646963)	(9.0, 2.2896083695911837)	('>10', 8.261883636231676)	('>50', 0.30147089642753094)	('>100', 0.26260733147228904)	('>500', 0.018743740930026932)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM19.B_R2	(1.0, 36.31671572756167)	(2.0, 15.363353117622818)	(3.0, 11.00456575647206)	(4.0, 8.471657481460422)	(5.0, 6.347096616816226)	(6.0, 4.826686444673026)	(7.0, 3.636909007949833)	(8.0, 2.7453338883666696)	(9.0, 2.310710873080719)	('>10', 8.273852960647009)	('>50', 0.2589091125245066)	('>100', 0.28198533901926437)	('>500', 0.009124874268069438)	('>1k', 0.0)	('>5k', 0.1530987995377178)	('>10k+', 0.0)
IDDLNTM19.C_R1	(1.0, 37.71217142211841)	(2.0, 17.982589173139736)	(3.0, 12.203878229056848)	(4.0, 8.749934847180254)	(5.0, 6.247224969089379)	(6.0, 4.339705223627224)	(7.0, 3.08713597857098)	(8.0, 2.3529017309144327)	(9.0, 1.6672889122947103)	('>10', 5.269079050908275)	('>50', 0.25335168705597483)	('>100', 0.13473877604378465)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM19.C_R2	(1.0, 39.606472676291915)	(2.0, 17.23191695807766)	(3.0, 11.689321440463305)	(4.0, 8.225519610214823)	(5.0, 6.026182621896727)	(6.0, 4.328291055622464)	(7.0, 3.169691063056494)	(8.0, 2.2121123116350563)	(9.0, 1.6224003520889314)	('>10', 5.317141420383991)	('>50', 0.24167947816284954)	('>100', 0.128120107462777)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.20115090464299362)	('>10k+', 0.0)
IDDLNTM1_R1	(1.0, 46.831346075298846)	(2.0, 18.910559191724303)	(3.0, 11.065554606640946)	(4.0, 6.867576465982495)	(5.0, 4.52757781777595)	(6.0, 2.8840695493446113)	(7.0, 1.9162384758541304)	(8.0, 1.3334964962064044)	(9.0, 0.9290872797621037)	('>10', 3.657901216440286)	('>50', 0.5944188768424747)	('>100', 0.46373373422993713)	('>500', 0.018440213897447526)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM1_R2	(1.0, 47.05858969251533)	(2.0, 18.241602147477813)	(3.0, 10.991083433975398)	(4.0, 7.006689980716785)	(5.0, 4.457788102455469)	(6.0, 2.8959035525188503)	(7.0, 2.0552281964461923)	(8.0, 1.263410277466071)	(9.0, 0.9970791171874556)	('>10', 3.8506459292179955)	('>50', 0.6055402691452554)	('>100', 0.5183923101737787)	('>500', 0.0)	('>1k', 0.058046990703616866)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM2.A_R1	(1.0, 55.8129454427114)	(2.0, 19.508386156881304)	(3.0, 9.915514585757622)	(4.0, 5.371209268275156)	(5.0, 2.9409371427509043)	(6.0, 1.6644228256809197)	(7.0, 1.0675281955286735)	(8.0, 0.6563915123493844)	(9.0, 0.43849797709563715)	('>10', 2.1653591206894585)	('>50', 0.2955549100420486)	('>100', 0.11988005072965319)	('>500', 0.04337281150779258)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM2.A_R2	(1.0, 56.07349172226711)	(2.0, 19.055934650053864)	(3.0, 9.732775339427171)	(4.0, 5.315596680906984)	(5.0, 3.046957978276414)	(6.0, 1.8368880202941213)	(7.0, 1.0527031290523232)	(8.0, 0.6898252737818477)	(9.0, 0.4566291959263226)	('>10', 2.1654044249028654)	('>50', 0.3266218674853602)	('>100', 0.12657602914419208)	('>500', 0.0)	('>1k', 0.12059568848150147)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM2.B_R1	(1.0, 53.36946922637337)	(2.0, 19.854698694806974)	(3.0, 10.833376657314552)	(4.0, 5.990520366464615)	(5.0, 3.4140312903576477)	(6.0, 2.0096335146687565)	(7.0, 1.1997889355739624)	(8.0, 0.7288409756442908)	(9.0, 0.4593858958101092)	('>10', 1.8981992621999857)	('>50', 0.1668233083031759)	('>100', 0.07523187248258346)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM2.B_R2	(1.0, 53.76618659735104)	(2.0, 19.23157816924835)	(3.0, 10.717273313893447)	(4.0, 5.929479561995755)	(5.0, 3.5834823400964675)	(6.0, 2.037527843186947)	(7.0, 1.19727555576328)	(8.0, 0.7559899805750476)	(9.0, 0.4725327154411537)	('>10', 1.9727413019306959)	('>50', 0.18416265881765564)	('>100', 0.07099106383413503)	('>500', 0.0)	('>1k', 0.08077889786597563)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM2.C_R1	(1.0, 49.026559242446694)	(2.0, 20.6054979798544)	(3.0, 11.930363688977796)	(4.0, 7.049081325657372)	(5.0, 4.228424335307567)	(6.0, 2.5262447946695126)	(7.0, 1.6160152676244446)	(8.0, 1.0274437147512712)	(9.0, 0.627496961100873)	('>10', 1.3530730856227555)	('>50', 0.002213008713062645)	('>100', 0.007586595274271017)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM2.C_R2	(1.0, 50.17121609117204)	(2.0, 19.89554560801203)	(3.0, 11.466801953378358)	(4.0, 6.929620862771853)	(5.0, 4.227366016185883)	(6.0, 2.565834718444132)	(7.0, 1.5887550618564499)	(8.0, 0.9625126888812807)	(9.0, 0.6499005931545527)	('>10', 1.41920465860295)	('>50', 0.006187074676113023)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.11705467286436985)	('>5k', 0.0)	('>10k+', 0.0)
IDDLNTM20_R1	(1.0, 33.37571977946144)	(2.0, 16.390564383140536)	(3.0, 11.80552209089946)	(4.0, 8.934444543809715)	(5.0, 6.697780093254548)	(6.0, 5.202830488085975)	(7.0, 3.7128516650535577)	(8.0, 2.936077239207391)	(9.0, 2.2136849700543793)	('>10', 8.30262331247235)	('>50', 0.23588743726336664)	('>100', 0.18252826346748396)	('>500', 0.009485733829698834)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
