Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
IDDLNTM105_R1	(15.0, 7.0)	(16.0, 46.0)	(17.0, 249.0)	(18.0, 627.0)	(19.0, 1415.0)	(20.0, 2679.0)	(21.0, 4127.0)	(22.0, 5476.0)	(23.0, 6861.0)	(24.0, 8775.0)	(25.0, 11067.0)	(26.0, 13818.0)	(27.0, 16866.0)	(28.0, 21913.0)	(29.0, 28967.0)	(30.0, 39988.0)	(31.0, 58244.0)	(32.0, 98263.0)	(33.0, 150376.0)	(34.0, 197692.0)	(35.0, 210414.0)	(36.0, 214062.0)	(37.0, 214214.0)	(38.0, 397655.0)	(39.0, 1978174.0)	(40.0, 237850.0)					
IDDLNTM105_R2	(12.0, 1.0)	(13.0, 12.0)	(14.0, 37.0)	(15.0, 279.0)	(16.0, 1781.0)	(17.0, 4284.0)	(18.0, 5910.0)	(19.0, 6163.0)	(20.0, 7054.0)	(21.0, 7677.0)	(22.0, 8695.0)	(23.0, 9727.0)	(24.0, 11747.0)	(25.0, 13678.0)	(26.0, 16433.0)	(27.0, 18817.0)	(28.0, 23043.0)	(29.0, 28431.0)	(30.0, 33580.0)	(31.0, 36366.0)	(32.0, 45907.0)	(33.0, 58182.0)	(34.0, 75263.0)	(35.0, 99589.0)	(36.0, 148598.0)	(37.0, 256115.0)	(38.0, 744124.0)	(39.0, 2174075.0)	(40.0, 84257.0)		
IDDLNTM107_R1	(15.0, 1.0)	(16.0, 71.0)	(17.0, 438.0)	(18.0, 1497.0)	(19.0, 3489.0)	(20.0, 6535.0)	(21.0, 9750.0)	(22.0, 12730.0)	(23.0, 15337.0)	(24.0, 18602.0)	(25.0, 22446.0)	(26.0, 26546.0)	(27.0, 31079.0)	(28.0, 38429.0)	(29.0, 46947.0)	(30.0, 59663.0)	(31.0, 77419.0)	(32.0, 115101.0)	(33.0, 172144.0)	(34.0, 241710.0)	(35.0, 282713.0)	(36.0, 312660.0)	(37.0, 326265.0)	(38.0, 532650.0)	(39.0, 2486012.0)	(40.0, 275074.0)					
IDDLNTM107_R2	(10.0, 1.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 17.0)	(14.0, 54.0)	(15.0, 481.0)	(16.0, 3295.0)	(17.0, 8886.0)	(18.0, 13076.0)	(19.0, 14450.0)	(20.0, 15898.0)	(21.0, 17585.0)	(22.0, 19606.0)	(23.0, 21485.0)	(24.0, 25089.0)	(25.0, 28521.0)	(26.0, 32719.0)	(27.0, 36647.0)	(28.0, 43607.0)	(29.0, 51626.0)	(30.0, 59463.0)	(31.0, 64664.0)	(32.0, 78561.0)	(33.0, 96509.0)	(34.0, 121818.0)	(35.0, 155120.0)	(36.0, 223661.0)	(37.0, 369789.0)	(38.0, 978140.0)	(39.0, 2549858.0)	(40.0, 84681.0)
IDDLNTM108.A_R1	(15.0, 8.0)	(16.0, 75.0)	(17.0, 464.0)	(18.0, 1398.0)	(19.0, 2912.0)	(20.0, 5126.0)	(21.0, 7200.0)	(22.0, 9812.0)	(23.0, 12003.0)	(24.0, 14971.0)	(25.0, 18329.0)	(26.0, 22210.0)	(27.0, 26107.0)	(28.0, 32935.0)	(29.0, 39362.0)	(30.0, 48029.0)	(31.0, 59328.0)	(32.0, 77636.0)	(33.0, 104625.0)	(34.0, 150684.0)	(35.0, 214066.0)	(36.0, 336458.0)	(37.0, 474419.0)	(38.0, 694571.0)	(39.0, 2515306.0)	(40.0, 204283.0)					
IDDLNTM108.A_R2	(12.0, 1.0)	(13.0, 12.0)	(14.0, 33.0)	(15.0, 249.0)	(16.0, 1539.0)	(17.0, 3916.0)	(18.0, 5495.0)	(19.0, 6363.0)	(20.0, 7080.0)	(21.0, 8081.0)	(22.0, 9451.0)	(23.0, 10748.0)	(24.0, 13254.0)	(25.0, 16182.0)	(26.0, 19140.0)	(27.0, 23065.0)	(28.0, 29346.0)	(29.0, 36025.0)	(30.0, 44459.0)	(31.0, 48850.0)	(32.0, 63729.0)	(33.0, 81154.0)	(34.0, 108643.0)	(35.0, 146750.0)	(36.0, 228662.0)	(37.0, 415749.0)	(38.0, 1047087.0)	(39.0, 2611441.0)	(40.0, 85813.0)		
IDDLNTM108.B_R1	(15.0, 2.0)	(16.0, 44.0)	(17.0, 282.0)	(18.0, 765.0)	(19.0, 1847.0)	(20.0, 3308.0)	(21.0, 5020.0)	(22.0, 6927.0)	(23.0, 8601.0)	(24.0, 11012.0)	(25.0, 13611.0)	(26.0, 16932.0)	(27.0, 20539.0)	(28.0, 26501.0)	(29.0, 33293.0)	(30.0, 42893.0)	(31.0, 57023.0)	(32.0, 91010.0)	(33.0, 143848.0)	(34.0, 207038.0)	(35.0, 252352.0)	(36.0, 283070.0)	(37.0, 270455.0)	(38.0, 430503.0)	(39.0, 1931537.0)	(40.0, 191735.0)					
IDDLNTM108.B_R2	(11.0, 1.0)	(12.0, 2.0)	(13.0, 3.0)	(14.0, 32.0)	(15.0, 238.0)	(16.0, 1469.0)	(17.0, 3706.0)	(18.0, 5554.0)	(19.0, 6014.0)	(20.0, 6933.0)	(21.0, 7947.0)	(22.0, 9297.0)	(23.0, 10729.0)	(24.0, 13355.0)	(25.0, 16383.0)	(26.0, 20183.0)	(27.0, 24187.0)	(28.0, 30950.0)	(29.0, 40203.0)	(30.0, 51829.0)	(31.0, 65862.0)	(32.0, 100062.0)	(33.0, 160059.0)	(34.0, 235842.0)	(35.0, 255951.0)	(36.0, 274996.0)	(37.0, 319885.0)	(38.0, 603275.0)	(39.0, 1722128.0)	(40.0, 63073.0)	
IDDLNTM109_R1	(15.0, 3.0)	(16.0, 51.0)	(17.0, 309.0)	(18.0, 950.0)	(19.0, 2374.0)	(20.0, 4602.0)	(21.0, 6672.0)	(22.0, 8864.0)	(23.0, 10739.0)	(24.0, 13613.0)	(25.0, 16400.0)	(26.0, 20149.0)	(27.0, 23663.0)	(28.0, 30374.0)	(29.0, 38323.0)	(30.0, 50220.0)	(31.0, 72350.0)	(32.0, 123578.0)	(33.0, 186062.0)	(34.0, 226333.0)	(35.0, 218936.0)	(36.0, 210951.0)	(37.0, 230149.0)	(38.0, 428826.0)	(39.0, 1858586.0)	(40.0, 174465.0)					
IDDLNTM109_R2	(12.0, 4.0)	(13.0, 7.0)	(14.0, 33.0)	(15.0, 288.0)	(16.0, 1960.0)	(17.0, 5227.0)	(18.0, 7718.0)	(19.0, 8465.0)	(20.0, 9637.0)	(21.0, 10757.0)	(22.0, 12259.0)	(23.0, 13481.0)	(24.0, 15981.0)	(25.0, 18614.0)	(26.0, 21494.0)	(27.0, 24655.0)	(28.0, 29860.0)	(29.0, 35980.0)	(30.0, 41748.0)	(31.0, 45407.0)	(32.0, 55997.0)	(33.0, 70372.0)	(34.0, 89796.0)	(35.0, 117260.0)	(36.0, 170542.0)	(37.0, 286345.0)	(38.0, 782419.0)	(39.0, 2014792.0)	(40.0, 66444.0)		
