Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
IDDLNTM126_R1	(15.0, 2.0)	(16.0, 67.0)	(17.0, 274.0)	(18.0, 810.0)	(19.0, 1750.0)	(20.0, 3219.0)	(21.0, 4829.0)	(22.0, 6698.0)	(23.0, 8456.0)	(24.0, 10864.0)	(25.0, 13598.0)	(26.0, 16785.0)	(27.0, 20649.0)	(28.0, 26771.0)	(29.0, 33717.0)	(30.0, 45529.0)	(31.0, 65382.0)	(32.0, 108288.0)	(33.0, 160945.0)	(34.0, 202733.0)	(35.0, 206551.0)	(36.0, 204327.0)	(37.0, 203594.0)	(38.0, 357859.0)	(39.0, 1525438.0)	(40.0, 143309.0)					
IDDLNTM126_R2	(12.0, 2.0)	(13.0, 6.0)	(14.0, 18.0)	(15.0, 134.0)	(16.0, 904.0)	(17.0, 2392.0)	(18.0, 3483.0)	(19.0, 3942.0)	(20.0, 4574.0)	(21.0, 5313.0)	(22.0, 6404.0)	(23.0, 7157.0)	(24.0, 8855.0)	(25.0, 10703.0)	(26.0, 13040.0)	(27.0, 15202.0)	(28.0, 19116.0)	(29.0, 24090.0)	(30.0, 29631.0)	(31.0, 32392.0)	(32.0, 41800.0)	(33.0, 53188.0)	(34.0, 69759.0)	(35.0, 93358.0)	(36.0, 140865.0)	(37.0, 250849.0)	(38.0, 696957.0)	(39.0, 1774129.0)	(40.0, 64181.0)		
IDDLNTM127_R1	(15.0, 3.0)	(16.0, 37.0)	(17.0, 295.0)	(18.0, 851.0)	(19.0, 1788.0)	(20.0, 3532.0)	(21.0, 5155.0)	(22.0, 7169.0)	(23.0, 8970.0)	(24.0, 11738.0)	(25.0, 13981.0)	(26.0, 17791.0)	(27.0, 21263.0)	(28.0, 26752.0)	(29.0, 33406.0)	(30.0, 42309.0)	(31.0, 54717.0)	(32.0, 79523.0)	(33.0, 118548.0)	(34.0, 179303.0)	(35.0, 244201.0)	(36.0, 341545.0)	(37.0, 379160.0)	(38.0, 489406.0)	(39.0, 2207438.0)	(40.0, 248521.0)					
IDDLNTM127_R2	(12.0, 2.0)	(13.0, 11.0)	(14.0, 34.0)	(15.0, 311.0)	(16.0, 2097.0)	(17.0, 5211.0)	(18.0, 7297.0)	(19.0, 8139.0)	(20.0, 9101.0)	(21.0, 10306.0)	(22.0, 11590.0)	(23.0, 13144.0)	(24.0, 15663.0)	(25.0, 18075.0)	(26.0, 21637.0)	(27.0, 24491.0)	(28.0, 30147.0)	(29.0, 36723.0)	(30.0, 43048.0)	(31.0, 46679.0)	(32.0, 58620.0)	(33.0, 73139.0)	(34.0, 94873.0)	(35.0, 124462.0)	(36.0, 183917.0)	(37.0, 317434.0)	(38.0, 903316.0)	(39.0, 2390047.0)	(40.0, 87888.0)		
IDDLNTM128_R1	(15.0, 1.0)	(16.0, 30.0)	(17.0, 188.0)	(18.0, 588.0)	(19.0, 1387.0)	(20.0, 2801.0)	(21.0, 4259.0)	(22.0, 5726.0)	(23.0, 7139.0)	(24.0, 9404.0)	(25.0, 11494.0)	(26.0, 14322.0)	(27.0, 17670.0)	(28.0, 22570.0)	(29.0, 28212.0)	(30.0, 36499.0)	(31.0, 47288.0)	(32.0, 68495.0)	(33.0, 102274.0)	(34.0, 153910.0)	(35.0, 211797.0)	(36.0, 300708.0)	(37.0, 351024.0)	(38.0, 509051.0)	(39.0, 2330425.0)	(40.0, 234980.0)					
IDDLNTM128_R2	(12.0, 2.0)	(13.0, 15.0)	(14.0, 39.0)	(15.0, 364.0)	(16.0, 2151.0)	(17.0, 5711.0)	(18.0, 8273.0)	(19.0, 8779.0)	(20.0, 9843.0)	(21.0, 10931.0)	(22.0, 12476.0)	(23.0, 13679.0)	(24.0, 16660.0)	(25.0, 19251.0)	(26.0, 22471.0)	(27.0, 25930.0)	(28.0, 31813.0)	(29.0, 38647.0)	(30.0, 44992.0)	(31.0, 49342.0)	(32.0, 61417.0)	(33.0, 76578.0)	(34.0, 99590.0)	(35.0, 130556.0)	(36.0, 192591.0)	(37.0, 328091.0)	(38.0, 902333.0)	(39.0, 2295522.0)	(40.0, 64195.0)		
IDDLNTM129_R1	(15.0, 1.0)	(16.0, 57.0)	(17.0, 283.0)	(18.0, 825.0)	(19.0, 1896.0)	(20.0, 3550.0)	(21.0, 5390.0)	(22.0, 7149.0)	(23.0, 8750.0)	(24.0, 11079.0)	(25.0, 13820.0)	(26.0, 16757.0)	(27.0, 20545.0)	(28.0, 26333.0)	(29.0, 32762.0)	(30.0, 42481.0)	(31.0, 57330.0)	(32.0, 88377.0)	(33.0, 138507.0)	(34.0, 202126.0)	(35.0, 245950.0)	(36.0, 280562.0)	(37.0, 294424.0)	(38.0, 506973.0)	(39.0, 2629658.0)	(40.0, 277857.0)					
IDDLNTM129_R2	(12.0, 3.0)	(13.0, 17.0)	(14.0, 40.0)	(15.0, 447.0)	(16.0, 2576.0)	(17.0, 6808.0)	(18.0, 9521.0)	(19.0, 10688.0)	(20.0, 11590.0)	(21.0, 13073.0)	(22.0, 14715.0)	(23.0, 16344.0)	(24.0, 19057.0)	(25.0, 22251.0)	(26.0, 25983.0)	(27.0, 29437.0)	(28.0, 35668.0)	(29.0, 43141.0)	(30.0, 49468.0)	(31.0, 53618.0)	(32.0, 66497.0)	(33.0, 82703.0)	(34.0, 105426.0)	(35.0, 137861.0)	(36.0, 200967.0)	(37.0, 337733.0)	(38.0, 929653.0)	(39.0, 2606368.0)	(40.0, 81789.0)		
IDDLNTM13.A_R1	(15.0, 1.0)	(16.0, 61.0)	(17.0, 364.0)	(18.0, 1168.0)	(19.0, 2680.0)	(20.0, 5050.0)	(21.0, 7636.0)	(22.0, 10025.0)	(23.0, 11959.0)	(24.0, 15224.0)	(25.0, 18126.0)	(26.0, 21945.0)	(27.0, 25623.0)	(28.0, 31671.0)	(29.0, 38894.0)	(30.0, 48016.0)	(31.0, 59863.0)	(32.0, 83515.0)	(33.0, 121623.0)	(34.0, 184358.0)	(35.0, 256596.0)	(36.0, 360016.0)	(37.0, 392978.0)	(38.0, 477080.0)	(39.0, 1932108.0)	(40.0, 201349.0)					
IDDLNTM13.A_R2	(12.0, 1.0)	(13.0, 16.0)	(14.0, 33.0)	(15.0, 288.0)	(16.0, 2157.0)	(17.0, 5931.0)	(18.0, 9021.0)	(19.0, 9908.0)	(20.0, 11127.0)	(21.0, 12429.0)	(22.0, 14406.0)	(23.0, 15681.0)	(24.0, 18798.0)	(25.0, 21718.0)	(26.0, 25015.0)	(27.0, 28313.0)	(28.0, 34352.0)	(29.0, 40378.0)	(30.0, 47533.0)	(31.0, 51848.0)	(32.0, 62717.0)	(33.0, 77498.0)	(34.0, 97704.0)	(35.0, 124305.0)	(36.0, 179128.0)	(37.0, 291112.0)	(38.0, 811242.0)	(39.0, 2242393.0)	(40.0, 72877.0)		
IDDLNTM13.B_R1	(15.0, 4.0)	(16.0, 53.0)	(17.0, 334.0)	(18.0, 991.0)	(19.0, 2160.0)	(20.0, 4436.0)	(21.0, 6597.0)	(22.0, 8866.0)	(23.0, 10760.0)	(24.0, 13439.0)	(25.0, 15968.0)	(26.0, 19283.0)	(27.0, 22629.0)	(28.0, 28021.0)	(29.0, 34235.0)	(30.0, 42287.0)	(31.0, 51920.0)	(32.0, 70508.0)	(33.0, 100672.0)	(34.0, 150535.0)	(35.0, 210506.0)	(36.0, 321576.0)	(37.0, 407859.0)	(38.0, 480878.0)	(39.0, 1936497.0)	(40.0, 217341.0)					
IDDLNTM13.B_R2	(12.0, 3.0)	(13.0, 13.0)	(14.0, 42.0)	(15.0, 269.0)	(16.0, 1960.0)	(17.0, 5368.0)	(18.0, 8053.0)	(19.0, 8991.0)	(20.0, 10100.0)	(21.0, 11067.0)	(22.0, 12763.0)	(23.0, 14198.0)	(24.0, 16785.0)	(25.0, 19031.0)	(26.0, 22409.0)	(27.0, 25459.0)	(28.0, 30938.0)	(29.0, 36690.0)	(30.0, 43455.0)	(31.0, 47251.0)	(32.0, 58739.0)	(33.0, 72897.0)	(34.0, 92875.0)	(35.0, 121136.0)	(36.0, 179310.0)	(37.0, 311032.0)	(38.0, 874737.0)	(39.0, 2066764.0)	(40.0, 66020.0)		
IDDLNTM131_R1	(15.0, 2.0)	(16.0, 68.0)	(17.0, 396.0)	(18.0, 1103.0)	(19.0, 2195.0)	(20.0, 4094.0)	(21.0, 5979.0)	(22.0, 8229.0)	(23.0, 10208.0)	(24.0, 12888.0)	(25.0, 16006.0)	(26.0, 19928.0)	(27.0, 24882.0)	(28.0, 32143.0)	(29.0, 41836.0)	(30.0, 57652.0)	(31.0, 90229.0)	(32.0, 170324.0)	(33.0, 246407.0)	(34.0, 257995.0)	(35.0, 224836.0)	(36.0, 224645.0)	(37.0, 257019.0)	(38.0, 495159.0)	(39.0, 2421113.0)	(40.0, 289762.0)					
IDDLNTM131_R2	(11.0, 1.0)	(12.0, 0.0)	(13.0, 16.0)	(14.0, 55.0)	(15.0, 409.0)	(16.0, 2499.0)	(17.0, 6383.0)	(18.0, 9260.0)	(19.0, 9991.0)	(20.0, 10933.0)	(21.0, 11947.0)	(22.0, 13484.0)	(23.0, 15167.0)	(24.0, 17829.0)	(25.0, 20687.0)	(26.0, 24739.0)	(27.0, 28031.0)	(28.0, 33567.0)	(29.0, 41273.0)	(30.0, 48013.0)	(31.0, 52564.0)	(32.0, 64585.0)	(33.0, 80473.0)	(34.0, 103274.0)	(35.0, 134949.0)	(36.0, 196852.0)	(37.0, 326694.0)	(38.0, 905799.0)	(39.0, 2655772.0)	(40.0, 99852.0)	
IDDLNTM132_R1	(15.0, 6.0)	(16.0, 77.0)	(17.0, 427.0)	(18.0, 1186.0)	(19.0, 2596.0)	(20.0, 4483.0)	(21.0, 6585.0)	(22.0, 9112.0)	(23.0, 11015.0)	(24.0, 13764.0)	(25.0, 16914.0)	(26.0, 21013.0)	(27.0, 24840.0)	(28.0, 31805.0)	(29.0, 38883.0)	(30.0, 49116.0)	(31.0, 62792.0)	(32.0, 89655.0)	(33.0, 134580.0)	(34.0, 204008.0)	(35.0, 283664.0)	(36.0, 387641.0)	(37.0, 424556.0)	(38.0, 596980.0)	(39.0, 2777333.0)	(40.0, 320707.0)					
IDDLNTM132_R2	(12.0, 3.0)	(13.0, 24.0)	(14.0, 86.0)	(15.0, 525.0)	(16.0, 3442.0)	(17.0, 8673.0)	(18.0, 12557.0)	(19.0, 13373.0)	(20.0, 14651.0)	(21.0, 16405.0)	(22.0, 18312.0)	(23.0, 20389.0)	(24.0, 23527.0)	(25.0, 27587.0)	(26.0, 32042.0)	(27.0, 36357.0)	(28.0, 43305.0)	(29.0, 52171.0)	(30.0, 60169.0)	(31.0, 65575.0)	(32.0, 80671.0)	(33.0, 99453.0)	(34.0, 127110.0)	(35.0, 163769.0)	(36.0, 237216.0)	(37.0, 396751.0)	(38.0, 1092170.0)	(39.0, 2787655.0)	(40.0, 79770.0)		
IDDLNTM135_R1	(15.0, 3.0)	(16.0, 53.0)	(17.0, 308.0)	(18.0, 930.0)	(19.0, 2005.0)	(20.0, 3719.0)	(21.0, 5436.0)	(22.0, 7355.0)	(23.0, 8887.0)	(24.0, 11647.0)	(25.0, 13954.0)	(26.0, 17530.0)	(27.0, 21432.0)	(28.0, 27418.0)	(29.0, 34786.0)	(30.0, 45891.0)	(31.0, 63193.0)	(32.0, 102509.0)	(33.0, 159702.0)	(34.0, 221050.0)	(35.0, 249805.0)	(36.0, 265940.0)	(37.0, 270533.0)	(38.0, 481318.0)	(39.0, 2343777.0)	(40.0, 254685.0)					
IDDLNTM135_R2	(12.0, 2.0)	(13.0, 20.0)	(14.0, 40.0)	(15.0, 362.0)	(16.0, 2249.0)	(17.0, 5640.0)	(18.0, 8156.0)	(19.0, 8713.0)	(20.0, 9696.0)	(21.0, 10898.0)	(22.0, 12493.0)	(23.0, 13894.0)	(24.0, 16908.0)	(25.0, 19710.0)	(26.0, 23251.0)	(27.0, 27039.0)	(28.0, 33184.0)	(29.0, 40367.0)	(30.0, 48395.0)	(31.0, 53945.0)	(32.0, 67665.0)	(33.0, 84963.0)	(34.0, 112164.0)	(35.0, 153323.0)	(36.0, 246232.0)	(37.0, 443717.0)	(38.0, 887699.0)	(39.0, 2201040.0)	(40.0, 82101.0)		
IDDLNTM136_R1	(15.0, 4.0)	(16.0, 53.0)	(17.0, 288.0)	(18.0, 810.0)	(19.0, 1712.0)	(20.0, 3058.0)	(21.0, 4590.0)	(22.0, 6203.0)	(23.0, 7570.0)	(24.0, 9634.0)	(25.0, 11783.0)	(26.0, 14486.0)	(27.0, 17268.0)	(28.0, 22241.0)	(29.0, 27833.0)	(30.0, 35761.0)	(31.0, 46841.0)	(32.0, 69622.0)	(33.0, 105322.0)	(34.0, 158426.0)	(35.0, 210482.0)	(36.0, 275760.0)	(37.0, 295864.0)	(38.0, 435119.0)	(39.0, 2106040.0)	(40.0, 229960.0)					
IDDLNTM136_R2	(12.0, 2.0)	(13.0, 8.0)	(14.0, 38.0)	(15.0, 299.0)	(16.0, 1900.0)	(17.0, 4852.0)	(18.0, 6807.0)	(19.0, 7169.0)	(20.0, 7995.0)	(21.0, 8925.0)	(22.0, 10187.0)	(23.0, 11393.0)	(24.0, 13401.0)	(25.0, 15963.0)	(26.0, 18462.0)	(27.0, 21222.0)	(28.0, 26139.0)	(29.0, 32653.0)	(30.0, 37891.0)	(31.0, 41238.0)	(32.0, 52312.0)	(33.0, 65468.0)	(34.0, 85379.0)	(35.0, 112844.0)	(36.0, 171428.0)	(37.0, 306467.0)	(38.0, 833146.0)	(39.0, 2128377.0)	(40.0, 74765.0)		
IDDLNTM137_R1	(15.0, 6.0)	(16.0, 69.0)	(17.0, 434.0)	(18.0, 1404.0)	(19.0, 3342.0)	(20.0, 6338.0)	(21.0, 9367.0)	(22.0, 11906.0)	(23.0, 14366.0)	(24.0, 17837.0)	(25.0, 21119.0)	(26.0, 24998.0)	(27.0, 29411.0)	(28.0, 36587.0)	(29.0, 44923.0)	(30.0, 56787.0)	(31.0, 76047.0)	(32.0, 118271.0)	(33.0, 180020.0)	(34.0, 252107.0)	(35.0, 296292.0)	(36.0, 329769.0)	(37.0, 339811.0)	(38.0, 616648.0)	(39.0, 2871231.0)	(40.0, 290044.0)					
IDDLNTM137_R2	(12.0, 5.0)	(13.0, 20.0)	(14.0, 66.0)	(15.0, 520.0)	(16.0, 3705.0)	(17.0, 9825.0)	(18.0, 14257.0)	(19.0, 15381.0)	(20.0, 16917.0)	(21.0, 18620.0)	(22.0, 20965.0)	(23.0, 22898.0)	(24.0, 26325.0)	(25.0, 30099.0)	(26.0, 34826.0)	(27.0, 39191.0)	(28.0, 46237.0)	(29.0, 55036.0)	(30.0, 63697.0)	(31.0, 69308.0)	(32.0, 84658.0)	(33.0, 104477.0)	(34.0, 133386.0)	(35.0, 171764.0)	(36.0, 250418.0)	(37.0, 416605.0)	(38.0, 1101626.0)	(39.0, 2813314.0)	(40.0, 84988.0)		
IDDLNTM139_R1	(15.0, 2.0)	(16.0, 34.0)	(17.0, 254.0)	(18.0, 774.0)	(19.0, 1820.0)	(20.0, 3498.0)	(21.0, 5083.0)	(22.0, 6856.0)	(23.0, 8446.0)	(24.0, 10219.0)	(25.0, 12692.0)	(26.0, 15256.0)	(27.0, 17400.0)	(28.0, 22265.0)	(29.0, 27101.0)	(30.0, 33902.0)	(31.0, 44666.0)	(32.0, 66460.0)	(33.0, 98494.0)	(34.0, 136933.0)	(35.0, 163360.0)	(36.0, 193082.0)	(37.0, 203937.0)	(38.0, 337531.0)	(39.0, 1609873.0)	(40.0, 180893.0)					
IDDLNTM139_R2	(11.0, 1.0)	(12.0, 1.0)	(13.0, 7.0)	(14.0, 32.0)	(15.0, 233.0)	(16.0, 1425.0)	(17.0, 4194.0)	(18.0, 6131.0)	(19.0, 6674.0)	(20.0, 7438.0)	(21.0, 8512.0)	(22.0, 9395.0)	(23.0, 10628.0)	(24.0, 12180.0)	(25.0, 14444.0)	(26.0, 16515.0)	(27.0, 18999.0)	(28.0, 23250.0)	(29.0, 27518.0)	(30.0, 32313.0)	(31.0, 35216.0)	(32.0, 43876.0)	(33.0, 54515.0)	(34.0, 69302.0)	(35.0, 89980.0)	(36.0, 131194.0)	(37.0, 217289.0)	(38.0, 576353.0)	(39.0, 1719330.0)	(40.0, 63886.0)	
IDDLNTM14.A_R1	(15.0, 1.0)	(16.0, 48.0)	(17.0, 321.0)	(18.0, 1064.0)	(19.0, 2684.0)	(20.0, 5319.0)	(21.0, 8030.0)	(22.0, 10558.0)	(23.0, 12731.0)	(24.0, 15831.0)	(25.0, 19686.0)	(26.0, 23749.0)	(27.0, 28709.0)	(28.0, 36533.0)	(29.0, 45965.0)	(30.0, 62559.0)	(31.0, 95997.0)	(32.0, 176360.0)	(33.0, 250310.0)	(34.0, 263175.0)	(35.0, 220128.0)	(36.0, 206089.0)	(37.0, 225507.0)	(38.0, 403251.0)	(39.0, 1794272.0)	(40.0, 197467.0)					
IDDLNTM14.A_R2	(12.0, 1.0)	(13.0, 16.0)	(14.0, 48.0)	(15.0, 360.0)	(16.0, 2446.0)	(17.0, 6691.0)	(18.0, 9878.0)	(19.0, 10695.0)	(20.0, 12220.0)	(21.0, 13190.0)	(22.0, 15310.0)	(23.0, 16758.0)	(24.0, 19755.0)	(25.0, 22690.0)	(26.0, 25934.0)	(27.0, 29667.0)	(28.0, 35301.0)	(29.0, 42459.0)	(30.0, 49464.0)	(31.0, 54276.0)	(32.0, 66551.0)	(33.0, 81765.0)	(34.0, 103442.0)	(35.0, 133740.0)	(36.0, 194794.0)	(37.0, 329121.0)	(38.0, 848027.0)	(39.0, 1921328.0)	(40.0, 60417.0)		
IDDLNTM14.B_R1	(15.0, 3.0)	(16.0, 83.0)	(17.0, 504.0)	(18.0, 1629.0)	(19.0, 3836.0)	(20.0, 7192.0)	(21.0, 10596.0)	(22.0, 14006.0)	(23.0, 16972.0)	(24.0, 21254.0)	(25.0, 25124.0)	(26.0, 30143.0)	(27.0, 35383.0)	(28.0, 43579.0)	(29.0, 53137.0)	(30.0, 66333.0)	(31.0, 84440.0)	(32.0, 120974.0)	(33.0, 180016.0)	(34.0, 268194.0)	(35.0, 348243.0)	(36.0, 442382.0)	(37.0, 457336.0)	(38.0, 589319.0)	(39.0, 2412833.0)	(40.0, 240646.0)					
IDDLNTM14.B_R2	(12.0, 4.0)	(13.0, 21.0)	(14.0, 54.0)	(15.0, 407.0)	(16.0, 2935.0)	(17.0, 8106.0)	(18.0, 12299.0)	(19.0, 13140.0)	(20.0, 15223.0)	(21.0, 16289.0)	(22.0, 18667.0)	(23.0, 20506.0)	(24.0, 24197.0)	(25.0, 28067.0)	(26.0, 32666.0)	(27.0, 36704.0)	(28.0, 44318.0)	(29.0, 52821.0)	(30.0, 61809.0)	(31.0, 67046.0)	(32.0, 82786.0)	(33.0, 102340.0)	(34.0, 129867.0)	(35.0, 167772.0)	(36.0, 243654.0)	(37.0, 409881.0)	(38.0, 1101558.0)	(39.0, 2688551.0)	(40.0, 92469.0)		
IDDLNTM140_R1	(15.0, 3.0)	(16.0, 56.0)	(17.0, 345.0)	(18.0, 969.0)	(19.0, 1989.0)	(20.0, 3536.0)	(21.0, 5126.0)	(22.0, 6863.0)	(23.0, 8452.0)	(24.0, 10721.0)	(25.0, 13266.0)	(26.0, 15951.0)	(27.0, 19206.0)	(28.0, 24069.0)	(29.0, 30140.0)	(30.0, 37565.0)	(31.0, 48548.0)	(32.0, 70822.0)	(33.0, 104627.0)	(34.0, 154307.0)	(35.0, 201829.0)	(36.0, 263084.0)	(37.0, 282943.0)	(38.0, 415126.0)	(39.0, 1979760.0)	(40.0, 232177.0)					
IDDLNTM140_R2	(11.0, 1.0)	(12.0, 3.0)	(13.0, 11.0)	(14.0, 31.0)	(15.0, 268.0)	(16.0, 1954.0)	(17.0, 5101.0)	(18.0, 7532.0)	(19.0, 8067.0)	(20.0, 8983.0)	(21.0, 10141.0)	(22.0, 11408.0)	(23.0, 12748.0)	(24.0, 15185.0)	(25.0, 17978.0)	(26.0, 20809.0)	(27.0, 23296.0)	(28.0, 28595.0)	(29.0, 34161.0)	(30.0, 40580.0)	(31.0, 43537.0)	(32.0, 53916.0)	(33.0, 66001.0)	(34.0, 84146.0)	(35.0, 108607.0)	(36.0, 156702.0)	(37.0, 258701.0)	(38.0, 709256.0)	(39.0, 2119597.0)	(40.0, 84165.0)	
IDDLNTM141_R1	(15.0, 4.0)	(16.0, 77.0)	(17.0, 390.0)	(18.0, 1312.0)	(19.0, 3004.0)	(20.0, 5559.0)	(21.0, 8383.0)	(22.0, 10804.0)	(23.0, 12974.0)	(24.0, 15986.0)	(25.0, 19095.0)	(26.0, 23032.0)	(27.0, 27128.0)	(28.0, 33981.0)	(29.0, 41327.0)	(30.0, 53017.0)	(31.0, 70181.0)	(32.0, 107812.0)	(33.0, 162829.0)	(34.0, 225218.0)	(35.0, 263100.0)	(36.0, 290673.0)	(37.0, 300181.0)	(38.0, 528545.0)	(39.0, 2451815.0)	(40.0, 271554.0)					
IDDLNTM141_R2	(12.0, 3.0)	(13.0, 19.0)	(14.0, 58.0)	(15.0, 474.0)	(16.0, 3034.0)	(17.0, 7932.0)	(18.0, 11748.0)	(19.0, 12934.0)	(20.0, 14361.0)	(21.0, 15636.0)	(22.0, 17546.0)	(23.0, 19613.0)	(24.0, 22711.0)	(25.0, 25908.0)	(26.0, 29798.0)	(27.0, 33828.0)	(28.0, 39974.0)	(29.0, 47516.0)	(30.0, 55006.0)	(31.0, 59611.0)	(32.0, 73856.0)	(33.0, 90228.0)	(34.0, 114035.0)	(35.0, 147240.0)	(36.0, 212015.0)	(37.0, 348952.0)	(38.0, 916693.0)	(39.0, 2518720.0)	(40.0, 88532.0)		
IDDLNTM143_R1	(15.0, 4.0)	(16.0, 80.0)	(17.0, 499.0)	(18.0, 1568.0)	(19.0, 3837.0)	(20.0, 7054.0)	(21.0, 9966.0)	(22.0, 13082.0)	(23.0, 15467.0)	(24.0, 18586.0)	(25.0, 22173.0)	(26.0, 25951.0)	(27.0, 29925.0)	(28.0, 35698.0)	(29.0, 42896.0)	(30.0, 51309.0)	(31.0, 61110.0)	(32.0, 78364.0)	(33.0, 99785.0)	(34.0, 134057.0)	(35.0, 187149.0)	(36.0, 299687.0)	(37.0, 492597.0)	(38.0, 838174.0)	(39.0, 2852918.0)	(40.0, 229407.0)					
IDDLNTM143_R2	(12.0, 2.0)	(13.0, 8.0)	(14.0, 41.0)	(15.0, 303.0)	(16.0, 2392.0)	(17.0, 6433.0)	(18.0, 9847.0)	(19.0, 11306.0)	(20.0, 12438.0)	(21.0, 13959.0)	(22.0, 15777.0)	(23.0, 17637.0)	(24.0, 21002.0)	(25.0, 24817.0)	(26.0, 28743.0)	(27.0, 33319.0)	(28.0, 39998.0)	(29.0, 49096.0)	(30.0, 57790.0)	(31.0, 62486.0)	(32.0, 77971.0)	(33.0, 97653.0)	(34.0, 126259.0)	(35.0, 165173.0)	(36.0, 242511.0)	(37.0, 403054.0)	(38.0, 1065314.0)	(39.0, 2877235.0)	(40.0, 88779.0)		
IDDLNTM144_R1	(15.0, 4.0)	(16.0, 60.0)	(17.0, 392.0)	(18.0, 1131.0)	(19.0, 2873.0)	(20.0, 5344.0)	(21.0, 8071.0)	(22.0, 10583.0)	(23.0, 13022.0)	(24.0, 15832.0)	(25.0, 18911.0)	(26.0, 22054.0)	(27.0, 25906.0)	(28.0, 31862.0)	(29.0, 38478.0)	(30.0, 47762.0)	(31.0, 60002.0)	(32.0, 83691.0)	(33.0, 121380.0)	(34.0, 178069.0)	(35.0, 240997.0)	(36.0, 335051.0)	(37.0, 394799.0)	(38.0, 579742.0)	(39.0, 2606242.0)	(40.0, 287054.0)					
IDDLNTM144_R2	(11.0, 1.0)	(12.0, 4.0)	(13.0, 19.0)	(14.0, 38.0)	(15.0, 411.0)	(16.0, 2649.0)	(17.0, 6996.0)	(18.0, 10470.0)	(19.0, 11394.0)	(20.0, 12565.0)	(21.0, 14130.0)	(22.0, 15791.0)	(23.0, 17441.0)	(24.0, 20432.0)	(25.0, 23547.0)	(26.0, 27417.0)	(27.0, 30502.0)	(28.0, 36343.0)	(29.0, 44159.0)	(30.0, 51616.0)	(31.0, 55751.0)	(32.0, 68779.0)	(33.0, 84869.0)	(34.0, 108302.0)	(35.0, 140815.0)	(36.0, 205828.0)	(37.0, 342546.0)	(38.0, 942481.0)	(39.0, 2757912.0)	(40.0, 96104.0)	
IDDLNTM145_R1	(15.0, 5.0)	(16.0, 39.0)	(17.0, 299.0)	(18.0, 1024.0)	(19.0, 2339.0)	(20.0, 4405.0)	(21.0, 6728.0)	(22.0, 8782.0)	(23.0, 10809.0)	(24.0, 13326.0)	(25.0, 16489.0)	(26.0, 19851.0)	(27.0, 23731.0)	(28.0, 30035.0)	(29.0, 38049.0)	(30.0, 49639.0)	(31.0, 70152.0)	(32.0, 115066.0)	(33.0, 177833.0)	(34.0, 237771.0)	(35.0, 254398.0)	(36.0, 260068.0)	(37.0, 270217.0)	(38.0, 494643.0)	(39.0, 2388318.0)	(40.0, 254003.0)					
IDDLNTM145_R2	(12.0, 3.0)	(13.0, 18.0)	(14.0, 46.0)	(15.0, 309.0)	(16.0, 2289.0)	(17.0, 5966.0)	(18.0, 8787.0)	(19.0, 9716.0)	(20.0, 10705.0)	(21.0, 12066.0)	(22.0, 13478.0)	(23.0, 14792.0)	(24.0, 17612.0)	(25.0, 20200.0)	(26.0, 23660.0)	(27.0, 26948.0)	(28.0, 32270.0)	(29.0, 39667.0)	(30.0, 46128.0)	(31.0, 50230.0)	(32.0, 62391.0)	(33.0, 77712.0)	(34.0, 100490.0)	(35.0, 131232.0)	(36.0, 194081.0)	(37.0, 336000.0)	(38.0, 954942.0)	(39.0, 2481722.0)	(40.0, 74559.0)		
IDDLNTM146_R1	(15.0, 5.0)	(16.0, 54.0)	(17.0, 386.0)	(18.0, 1197.0)	(19.0, 2874.0)	(20.0, 5410.0)	(21.0, 7794.0)	(22.0, 10237.0)	(23.0, 12175.0)	(24.0, 14965.0)	(25.0, 17992.0)	(26.0, 21787.0)	(27.0, 25102.0)	(28.0, 31108.0)	(29.0, 38716.0)	(30.0, 48401.0)	(31.0, 63961.0)	(32.0, 95808.0)	(33.0, 145824.0)	(34.0, 213874.0)	(35.0, 269622.0)	(36.0, 315932.0)	(37.0, 307388.0)	(38.0, 486115.0)	(39.0, 2266062.0)	(40.0, 253418.0)					
IDDLNTM146_R2	(12.0, 2.0)	(13.0, 23.0)	(14.0, 45.0)	(15.0, 348.0)	(16.0, 2521.0)	(17.0, 6797.0)	(18.0, 10258.0)	(19.0, 11112.0)	(20.0, 12395.0)	(21.0, 14073.0)	(22.0, 15781.0)	(23.0, 17366.0)	(24.0, 20083.0)	(25.0, 23201.0)	(26.0, 26706.0)	(27.0, 30101.0)	(28.0, 35813.0)	(29.0, 42973.0)	(30.0, 49983.0)	(31.0, 54122.0)	(32.0, 66362.0)	(33.0, 80394.0)	(34.0, 102418.0)	(35.0, 132014.0)	(36.0, 189859.0)	(37.0, 312238.0)	(38.0, 851984.0)	(39.0, 2464196.0)	(40.0, 83039.0)		
