Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
IDDLNTM105_R1	(1, 0.0)	(2, 0.28182380590970263)	(3, 0.2728183018374545)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5327278641265873)	(9, 0.21472897387000695)	(10, 0.0458540878738209)	(15, 0.0)	(20, 0.0)	(25, 0.10643332291620161)	(30, 0.40423233180052687)	(35, 0.19298820738170708)	(40, 0.3466481284241006)	(45, 0.10970387708634953)	(50, 0.05614536363230501)	(55, 0.11927573297277301)	(60, 0.25480729369295824)	(65, 0.06107415509620965)	(70, 0.0)	(75, 0.19083505003412143)	(80, 0.05668620410349952)	(85, 0.05793625990956229)	(90, 0.0)	(95, 0.11077535349154617)	(100, 0.04764498415107817)	(105, 0.26034325511980766)	(110, 0.0)	(115, 0.06107415509620965)	(120, 0.0)	(125, 0.0)	(130, 0.05440549004100949)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM105_R2	(1, 0.0)	(2, 0.2720274502050474)	(3, 0.2985847582481361)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.08605996441167654)	(25, 0.0)	(30, 0.1707525208395783)	(35, 0.05172169675942166)	(40, 0.0)	(45, 0.05486979648326137)	(50, 0.0)	(55, 0.06381917560095157)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.13035275809506802)	(80, 0.3293667446888573)	(85, 0.3300147328005714)	(90, 0.2615984131944666)	(95, 0.21725459682511333)	(100, 0.21725459682511333)	(105, 0.27276727915149274)	(110, 0.10805074206118896)	(115, 0.06179867723686644)	(120, 0.1136989533971542)	(125, 0.0)	(130, 0.0)	(135, 0.053466672619313364)	(140, 0.0)	(145, 0.0)	(150, 0.13241662574222063)
IDDLNTM107_R1	(1, 0.0)	(2, 0.2697393783521931)	(3, 0.2647347921180895)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5110151724979219)	(9, 0.2176017553586216)	(10, 0.04521721859172507)	(15, 0.0)	(20, 0.0)	(25, 0.10754777620428722)	(30, 0.4136016834176945)	(35, 0.19162091510423224)	(40, 0.340882699536372)	(45, 0.10689483409405649)	(50, 0.054217654147120764)	(55, 0.11490217206862226)	(60, 0.25205520371402856)	(65, 0.05905411756242243)	(70, 0.0)	(75, 0.19490126498736732)	(80, 0.05499571091320406)	(85, 0.05684115208702975)	(90, 0.0)	(95, 0.12201024845424752)	(100, 0.04535406274656384)	(105, 0.27125639355440573)	(110, 0.0)	(115, 0.05905411756242243)	(120, 0.0)	(125, 0.0)	(130, 0.05278665527080677)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM107_R2	(1, 0.0)	(2, 0.2639332763540338)	(3, 0.2870012910268551)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.08713453813533809)	(25, 0.0)	(30, 0.16617572197021177)	(35, 0.05006541150601293)	(40, 0.0)	(45, 0.05379148235062287)	(50, 0.0)	(55, 0.061724533498276155)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.1327544695255887)	(80, 0.33549494966871984)	(85, 0.3446087703809819)	(90, 0.2685742481195658)	(95, 0.22125744920931445)	(100, 0.22125744920931445)	(105, 0.2776216016709062)	(110, 0.10635136730769681)	(115, 0.05964841217772224)	(120, 0.1100070611583897)	(125, 0.0)	(130, 0.0)	(135, 0.05383058068057681)	(140, 0.0)	(145, 0.0)	(150, 0.1369712244111205)
IDDLNTM108.A_R1	(1, 0.0)	(2, 0.2698175212629652)	(3, 0.2619710085154378)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5091953046309999)	(9, 0.19145096806843895)	(10, 0.04455163192679006)	(15, 0.0)	(20, 0.0)	(25, 0.10610929876819608)	(30, 0.4013234977230327)	(35, 0.18800481121349474)	(40, 0.341705772726744)	(45, 0.10445325085163248)	(50, 0.05508725105311833)	(55, 0.11569071885688532)	(60, 0.24703897646775624)	(65, 0.060536437292858465)	(70, 0.0)	(75, 0.18316284254316123)	(80, 0.05565109593899593)	(85, 0.05785127388528753)	(90, 0.0)	(95, 0.12113596212539555)	(100, 0.04614459230367503)	(105, 0.26111932672977656)	(110, 0.0)	(115, 0.060536437292858465)	(120, 0.0)	(125, 0.0)	(130, 0.052563749465973836)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM108.A_R2	(1, 0.0)	(2, 0.26281874732986915)	(3, 0.2948751034290641)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.08195859998497729)	(25, 0.0)	(30, 0.1670479191265057)	(35, 0.04978789772011489)	(40, 0.0)	(45, 0.05537903092413191)	(50, 0.0)	(55, 0.06284307546235773)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.13533460152431326)	(80, 0.34275460307390093)	(85, 0.350798264382924)	(90, 0.2713119073591023)	(95, 0.22555766920718875)	(100, 0.22555766920718875)	(105, 0.2805857756918584)	(110, 0.10721333071257179)	(115, 0.06082821716387205)	(120, 0.1095633415656001)	(125, 0.0)	(130, 0.0)	(135, 0.05347851879131372)	(140, 0.0)	(145, 0.0)	(150, 0.13461303778923914)
IDDLNTM108.B_R1	(1, 0.0)	(2, 0.2781379840934208)	(3, 0.27579239079658324)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5281041581690348)	(9, 0.19742488422645293)	(10, 0.045198348307271735)	(15, 0.0)	(20, 0.0)	(25, 0.10766520137041906)	(30, 0.4005532637325846)	(35, 0.18694625480352817)	(40, 0.3468218939159754)	(45, 0.10631216439498012)	(50, 0.057805295016379654)	(55, 0.1199956149750577)	(60, 0.2532351904177329)	(65, 0.06161750138513457)	(70, 0.0)	(75, 0.18083289795829682)	(80, 0.05715346698441637)	(85, 0.05958300783082495)	(90, 0.0)	(95, 0.12556084370250173)	(100, 0.04788960798469587)	(105, 0.2632743297281976)	(110, 0.0)	(115, 0.06161750138513457)	(120, 0.0)	(125, 0.0)	(130, 0.054299250299001414)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM108.B_R2	(1, 0.0)	(2, 0.2714962514950071)	(3, 0.30048284655276797)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.08367595455771)	(25, 0.0)	(30, 0.17308009485085485)	(35, 0.05197340936676882)	(40, 0.0)	(45, 0.055188106706224066)	(50, 0.0)	(55, 0.06385939476779615)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.13131371989369278)	(80, 0.33624450267002587)	(85, 0.3437207726729986)	(90, 0.26489896171695454)	(95, 0.2188561998228213)	(100, 0.2188561998228213)	(105, 0.27518006749382984)	(110, 0.10722077316680774)	(115, 0.06295078599596854)	(120, 0.11426249114847162)	(125, 0.0)	(130, 0.0)	(135, 0.05559796827177674)	(140, 0.0)	(145, 0.0)	(150, 0.13448891250393813)
IDDLNTM109_R1	(1, 0.0)	(2, 0.2741600720851478)	(3, 0.27016769499856225)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5262609973564399)	(9, 0.20502625114275477)	(10, 0.045129022004062117)	(15, 0.0)	(20, 0.0)	(25, 0.10866340774147185)	(30, 0.4078390071413014)	(35, 0.19046670888142184)	(40, 0.34543158354352277)	(45, 0.1084612620662017)	(50, 0.05624703414392065)	(55, 0.1171939552378724)	(60, 0.2527932742090924)	(65, 0.06082058004690791)	(70, 0.0)	(75, 0.19099228763712425)	(80, 0.0552767349026239)	(85, 0.05816236441710536)	(90, 0.0)	(95, 0.12409217640646644)	(100, 0.04737283899956084)	(105, 0.26562447094686553)	(110, 0.0)	(115, 0.06082058004690791)	(120, 0.0)	(125, 0.0)	(130, 0.053962788013367895)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
IDDLNTM109_R2	(1, 0.0)	(2, 0.26981394006683945)	(3, 0.2925805967441407)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.08429474658765465)	(25, 0.0)	(30, 0.16962043611918712)	(35, 0.05147639620754499)	(40, 0.0)	(45, 0.05502910645041796)	(50, 0.0)	(55, 0.06332213277837608)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.12997461555682793)	(80, 0.33240329477236125)	(85, 0.34083276943112667)	(90, 0.26338570759324853)	(95, 0.2166243592613799)	(100, 0.2166243592613799)	(105, 0.27285117883777354)	(110, 0.10670764833323311)	(115, 0.06177066472067763)	(120, 0.1113418379388014)	(125, 0.0)	(130, 0.0)	(135, 0.053892037027023346)	(140, 0.0)	(145, 0.0)	(150, 0.13375726650532074)
